announce.msbt
AnnounceEmpty	目前暫無通知
Name_GESP	毒魷魷
Name_GES	魷魷
Name_SNB	刺球丸子
Name_POO	扳手仔
Name_BUL	布魯
Name_BRSF	火焰兄弟
Name_BRSI	冰凍兄弟
Name_BRSB	迴旋鏢兄弟
Name_BRSH	鐵鎚兄弟
Name_BRSM	重量級兄弟
Name_CRP	黃鼴鼠
Name_KPAM	機器庫巴
Name_HCN	叮叮蜂
Name_KSK	迴旋黑鳥
Name_LIT	打火龍
Name_DSN	咚咚
Name_GSG	蜘蛛怪
Name_SLD	剪紙兵
Name_SLDP	高大剪紙兵
Name_SMOE	老大ＫＫ
Name_KK	ＫＫ
Name_HBE	地神祇
Name_HBE_Head	頭部
Name_HBE_Koura	龜殼
Name_HBE_LeftHand	左手
Name_HBE_RightHand	右手
Name_HBE_LeftFoot	左腳
Name_HBE_RightFoot	右腳
Name_HBE_Tail	尾巴
Name_HBF	火神祇
Name_HBW	水神祇
Name_HBI	冰神祇
Name_PEN	彩色鉛筆
Name_PEN_Back	蓋子
Name_PEN_PEN	鉛筆
Name_GOM	橡皮筋
Name_HPC	打孔機
Name_HPC_Front	把手
Name_HPC_Back	底蓋
Name_HND	黑色之手
Name_SCS	剪刀
Name_SCS_Cover	護套
Name_STP	釘書機
Name_TAP	膠帶
Name_KNG	奧利王
Name_KPA	庫巴
Name_KPAJ	庫巴Jr.
Name_AllSelect	全體
Name_H_KUR	紙糊栗寶寶
Name_H_HEI	紙糊嘿呵
Name_H_NOK	紙糊慢慢龜
Name_H_KUR_Gun	紙糊栗寶寶槍手
Name_H_GBN_Gun	紙糊加邦槍手
Name_H_MUC_Gun	紙糊木喬槍手
Name_H_TRS	紙糊害羞幽靈
Name_H_PAT	紙糊飛行龜
Name_H_KUR_Mummy	繃帶紙糊栗寶寶
Name_H_GBNR	紙糊岩石加邦
Name_H_MET	紙糊鋼盔龜
Name_H_PKF	紙糊吞食花
Name_H_WAN	紙糊汪汪
Name_H_BBL	紙糊火焰泡泡
Name_H_BOM	紙糊炸彈兵
Name_H_GESB	紙糊魷魷老大
Name_H_SNB_Big	巨大紙糊刺球丸子
Name_H_MET_Face	百面紙糊鋼盔龜
Item_Boots	瑪利歐的靴子
Item_SilverBoots	閃亮靴子
Item_KiraBoots	閃亮亮靴子
Item_KiraKiraBoots	傳說的靴子
Item_GoldBoots	黃金靴子
Item_SteelBoots	閃亮鋼鐵靴子
Item_IronBoots	鋼鐵靴子
Item_KiraIronBoots	閃亮亮鋼鐵靴子
Item_KiraSteelBoots	傳說的鋼鐵靴子
Item_Tail	尾巴
Item_KiraTail	閃亮尾巴
Item_Hammer	瑪利歐的鎚子
Item_SilverHammer	閃亮鎚子
Item_KiraHammer	閃亮亮鎚子
Item_KiraKiraHammer	傳說的鎚子
Item_GoldHammer	黃金鎚子
Item_PoiHammer	丟丟鎚子
Item_PoiKiraHammer	閃亮丟丟鎚子
Item_FireHammer	火焰鎚子
Item_IceHammer	冰凍鎚子
Item_Kinoko	蘑菇
Item_KiraKinoko	閃亮蘑菇
Item_KiraKiraKinoko	閃亮亮蘑菇
Item_1upKinoko	１ＵＰ蘑菇
Item_KinokoSet	大份蘑菇
Item_KinokoDoubleSet	特大份蘑菇
Item_KiraKinokoSet	大份閃亮蘑菇
Item_FireFlowerSet	火之花組合
Item_IceFlowerSet	冰之花組合
Item_PowBlock	ＰＯＷ磚塊
Item_FireFlower	火之花
Item_KiraFireFlower	閃亮火之花
Item_IceFlower	冰之花
Item_KiraIceFlower	閃亮冰之花
Item_Coin1	１金幣
Item_Coin10	１０金幣
Item_Coin100	１００金幣
Item_Coin10000	１０００金幣
Item_HeartSmall	回復愛心
Item_HeartMiddle	閃亮回復愛心
Item_HeartLarge	閃亮亮回復愛心
Item_Star	星星
Item_PaperSmall	小型祇片袋
Item_PaperMiddle	中型祇片袋
Item_PaperLarge	大型祇片袋
Item_KnpRadar	奇諾比奧雷達
Item_Latency	透明裝
Item_SecretBlockRadar	隱藏磚塊雷達
Item_Whistle	靴子汽車哨
ImitationItem_PaperBag	空的神祇片袋
ImitationItem_MaxHPUp	上限提升愛心
ImitationItem_MaxHP5Up	上限提升愛心＋５
ImitationItem_MaxHP10Up	上限提升愛心＋１０
ImitationItem_MaxHP20Up	上限提升愛心＋２０
ImitationItem_Chart	汪洋航海圖
ImitationItem_PuzzleAnswer	拼板正解顯示機
ImitationItem_PuzzleTimer	計時器自動延長機
PSV_Puzzle_TIME1	時間＋
PSV_Puzzle_TIME2	銀色時間＋
PSV_Puzzle_TIME3	金色時間＋
PSV_Battle_DAMAGE1	防禦＋
PSV_Battle_DAMAGE2	銀色防禦＋
PSV_Battle_DAMAGE3	金色防禦＋
PSV_Battle_HP1	愛心＋
PSV_Battle_HP2	銀色愛心＋
PSV_Battle_HP3	金色愛心＋
PSV_Sub_PaperVacuum	神祇片吸塵器
PSV_Sub_FlowerShower	花瓣袋
PSV_Sub_Pedometer	金幣計步器
PSV_Sub_HideBlockAlarm	磚塊響鈴
PSV_Sub_KinopioAlarm	奇諾比奧響鈴
PSV_Sub_TreasureAlarm	寶物響鈴
PSV_Sub_BattleParty	同伴鈴鼓
PSV_Sub_MarioSound	嗶嗶變換器
PSV_Sub_MembersCard1	會員卡
PSV_Sub_MembersCard2	銀色會員卡
PSV_Sub_MembersCard3	金色會員卡
KeyItem_DefaultHammer	鎚子
KeyItem_DekuSeedDry	乾枯種子
KeyItem_DekuSeed	生命的種子
KeyItem_CoinDirty	髒污金幣
KeyItem_KinokoDry	乾枯蘑菇
KeyItem_KeyPeachCastle	碧姬公主城堡鑰匙
KeyItem_OrigamiBookEarth	地神祇之書
KeyItem_OrigamiBookWater	水神祇之書
KeyItem_OrigamiBookFire	火神祇之書
KeyItem_OrigamiBookIce	冰神祇之書
KeyItem_TurtleBallA	綠色的烏龜球球
KeyItem_TurtleBallB	黃色的烏龜球球
KeyItem_TurtleBallC	藍色的烏龜球球
KeyItem_TurtleBallD	紅色的烏龜球球
KeyItem_TurtleBallE	紫色的烏龜球球
KeyItem_CostumeKUR	栗寶寶的頭套
KeyItem_CostumeSAM	宇宙戰士的頭套
KeyItem_CostumeDON	猴子的頭套
KeyItem_MiniPieceA	有溝槽的面板
KeyItem_MiniPieceB	有溝槽的面板２
KeyItem_KeyOasisA	套房鑰匙
KeyItem_KeyOasisB	學者房間鑰匙
KeyItem_KNPEyeA	圓形寶石
KeyItem_KNPEyeB	菱形寶石
KeyItem_KNPEyeC	方形寶石
KeyItem_KNPEyeD	三角形寶石
KeyItem_CanA	鮪魚罐頭
KeyItem_CanA_OPEN	打開的鮪魚罐頭
KeyItem_CanHeart	愛心的罐頭
KeyItem_NormalPass	百姓通行證
KeyItem_PremiumPass	領主通行證
KeyItem_Bone	骨頭
KeyItem_Straw	吸管
KeyItem_ThrowingStarSet	手裏劍
KeyItem_MasterKey	江戶園地的萬能鑰匙
KeyItem_SignBall	簽名球
KeyItem_GeneratorHandle	操縱桿
KeyItem_SunIncense	太陽香
KeyItem_ShellfishBig	大貝殼
KeyItem_WalletA	沉甸甸的袋子
KeyItem_StampCardA	集點卡
KeyItem_SpaTicketA	特別溫泉券
KeyItem_KeyKoopaCastle	庫巴城堡鑰匙
KeyItem_KeyKinoko	蘑菇門把
KeyItem_KeyOrb	方塊鑰匙
KeyItem_OrbPower	力量寶珠
KeyItem_OrbWisdom	智慧寶珠
KeyItem_OrbCourage	勇氣寶珠
KeyItem_ManholeHandleA	圓孔蓋鐵撬
KeyItem_DragonPearl	紅色珠子
KeyItem_HPMaxUpDry	乾枯的上限提升愛心
KeyItem_FireFlowerWither	枯萎的火之花
KeyItem_CD_A	「驚魂夜」
KeyItem_CD_B	「快樂與愛」
KeyItem_CD_C	「深度共鳴」
KeyItem_CD_D	「電壓滿點」
KeyItem_CD_A_name	驚魂夜
KeyItem_CD_B_name	快樂與愛
KeyItem_CD_C_name	深度共鳴
KeyItem_CD_D_name	電壓滿點
KeyItem_CD_K_name	池畔的炎熱夜晚
KeyItem_CD_J_name	奇諾比丘地下音樂
Glossary_Other_1	奧莉維亞提示
Glossary_Other_2	奇諾比奧點數
Glossary_Other_12	控制器
Glossary_Other_13	飾品
Glossary_Other_3	寶物模型
Glossary_Other_4	神祇片
Glossary_Other_5	神祇片袋
Glossary_Other_6	空心洞
Glossary_Other_7	？磚塊
Glossary_Other_8	隱藏磚塊
Glossary_Other_9	神祇之手
Glossary_Other_10	神祇之力
Glossary_Other_11	魔法陣
Glossary_Other_16	神祇之書
Glossary_Other_17	旅行的水管
Glossary_Other_18	摺紙祭典
Glossary_Other_19	蘑菇王國
Glossary_Other_20	摺紙王國
Glossary_Other_21	紙片
Glossary_Other_22	神祇膠帶
Glossary_Other_23	紅色神祇膠帶
Glossary_Other_24	藍色神祇膠帶
Glossary_Other_25	黃色神祇膠帶
Glossary_Other_26	紫色神祇膠帶
Glossary_Other_27	綠色神祇膠帶
Glossary_Other_33	紅色神祇膠帶區域
Glossary_Other_76	藍色神祇膠帶區域
Glossary_Other_77	黃色神祇膠帶區域
Glossary_Other_78	紫色神祇膠帶區域
Glossary_Other_79	綠色神祇膠帶區域
Glossary_Other_80	摺紙城堡區域
Glossary_Other_28	庫巴軍團
Glossary_Other_29	文具軍團
Glossary_Other_30	摺紙兵
Glossary_Other_31	紙糊兵
Glossary_Other_32	四方神祇
Glossary_Other_98	奇諾比奧纜車
Glossary_Other_37	德庫爺爺
Glossary_Other_61	德庫大哥
Glossary_Other_34	奇諾比奧的燒烤園地
Glossary_Other_35	大博物館
Glossary_Other_81	藝術收藏
Glossary_Other_82	樂曲收藏
Glossary_Other_83	摺紙奇諾比奧收藏
Glossary_Other_84	摺紙角色收藏
Glossary_Other_85	寶物收藏
Glossary_Other_36	戰鬥研究所
Glossary_Other_38	地神祇尊像
Glossary_Other_75	烏龜球球
Glossary_Other_39	觀景堂
Glossary_Other_40	感應器研究所
Glossary_Other_41	芒之草大草原
Glossary_Other_42	楓葉大橋
Glossary_Other_43	入國通行證
Glossary_Other_44	水筒屋
Glossary_Other_45	手裏劍道場
Glossary_Other_46	望火樓
Glossary_Other_47	解謎之屋
Glossary_Other_48	忍者宅邸
Glossary_Other_49	機關重重
Glossary_Other_50	奇諾比奧汽車
Glossary_Other_51	靴子汽車
Glossary_Other_52	靴子２０００ＧＴ－Ｒ
Glossary_Other_53	木喬山卓
Glossary_Other_55	奇諾比王
Glossary_Other_58	太陽祭壇
Glossary_Other_59	藍色交響曲
Glossary_Other_62	超級潛艇號
Glossary_Other_63	水療潛艇號
Glossary_Other_64	力量試煉
Glossary_Other_65	智慧試煉
Glossary_Other_66	勇氣試煉
Glossary_Other_67	摺紙工坊
Glossary_Other_68	賦生摺法
Glossary_Other_69	清淨溫泉
Glossary_Other_70	天使溫泉
Glossary_Other_71	神殿溫泉
Glossary_Other_72	叢林溫泉
Glossary_Other_73	繽紛溫泉
Glossary_Other_74	嘿呵的嘿！嘿呵
Glossary_Other_86	箭頭面板
Glossary_Other_87	提示信封
Glossary_Other_88	寶箱
Glossary_Other_89	魔法陣啟動面板
Glossary_Other_90	魔法陣面板
Glossary_Other_91	行動面板
Glossary_Other_92	攻擊力２倍面板
Glossary_Other_93	行動＋１面板
Glossary_Other_94	攻擊力１．５倍
Glossary_Other_95	生氣的敵人
Glossary_Other_96	快壞掉的武器
Glossary_Other_97	１ＵＰ蘑菇
hint.msbt
Hint_Common_1	謝謝你按呼叫我！\n你需要提示對吧，我想想喔……
Hint_Common_2	！！
Hint_Common_3	我們得去楓葉山找炸彈彬才行。
Hint_W0C1_2	說不定可以利用牆角的\n洞離開這個房間。
Hint_W0C1_4	我們最好快點逃離這裡吧。\n哪邊會有出口呢？
Hint_W0C1_5	有個好可怕的聲音！\n是從哪裡傳來的呢？
Hint_W0C1_6	傳來可怕聲音的房間裡，\n好像發生了什麼事。\n要不要過去看看呢？
Hint_W0C1_7	好厲害，\n庫巴說他知道一件好消息耶！\n到底是什麼好消息呢？
Hint_W0C1_8	他說有秘密出口耶。\n既然是秘密出口，\n也許會藏在什麼東西後面。
Hint_W0C1_9	秘密出口應該在庫巴被關的\n那個房間裡吧？
Hint_W0C1_10	有魔法陣耶！
Hint_W0C1_11	秘密出口會通往哪裡呢？\n啊，這應該也是個秘密吧。
Hint_W1C1_26	只要按敲打花草樹木，\n應該就會有神祇片掉出來喔！{[0004]}收集到一定程度的神祇片之後，\n就回到空心洞這裡吧！
Hint_W1C1_38	應該差不多可以\n回到空心洞這邊了！
Hint_W1C1_37	將神祇片撒向空心洞吧！\n！！嘩啦～！
Hint_W1C1_27	瑪利歐，這邊、這邊！
Hint_W1C1_28	嗚嗚～\n快來這裡幫幫我啊～！
Hint_W1C1_1	這裡好安靜喔，\n不過這是哪裡？\n出口又在哪邊呢？
Hint_W1C1_39	居然連這種地方都有魔法陣。\n發動後會發生什麼事呢？
Hint_W1C1_2	接下來，要不要繼續往前，\n看看能走到哪？
Hint_W1C1_3	總之，要不要先朝碧姬公主城堡\n原本的所在地前進呢？
Hint_W1C1_4	{size[5000]}你有沒有聽到有人在竊竊私語？\n難道是我的錯覺嗎？{size[6400]}
Hint_W1C1_5	樹上垂下來的枝葉好像繩子喔。\n拉了會發生什麼事呢？
Hint_W1C1_6	我好像聽到了……\n有什麼東西碰撞的聲音……
Hint_W1C1_7	這座山比想像中還要大呢，\n好像還有其他地方能去。
Hint_W1C1_29	這附近的景色看起來都差不多耶，\n再繼續走一下的話，\n景色會不會不一樣呢？
Hint_W1C1_30	那邊那個巨大樹墩\n好像很適合讓人坐著休息呢。
Hint_W1C1_10	用生命的種子就能恢復活力？\n要不要再問一下\n那個種子在哪裡呢？
Hint_W1C1_11	巨大的金色果實……\n我們好像有在哪看過耶？\n得想辦法弄到手才行呢。
Hint_W1C1_13	像繩子的枝葉居然斷了……\n乾脆直接搖樹，看金色果實\n會不會掉下來好了。
Hint_W1C1_14	好像有什麼東西\n從金光閃閃的果實裡掉出來了？
Hint_W1C1_15	剛剛拿到的就是生命的種子？\n用那顆種子就能恢復活力嗎？
Hint_W1C1_16	看樣子不能用乾枯種子呢。\n我好像在哪看過乾癟的東西\n恢復原狀，是在哪裡呢？
Hint_W1C1_17	是泉水！\n我好像在哪裡看過皺巴巴的\n東西掉進這個泉水裡。
Hint_W1C1_20	把乾枯的東西放進泉水裡\n會發生什麼事呢？
Hint_W1C1_21	種子看起來充滿了活力，\n變得很有光澤呢！
Hint_W1C1_22	德庫爺爺該不會出事了吧！？\n瑪利歐，我們該怎麼辦才好……
Hint_W1C1_23	德庫爺爺身上的空心洞\n也能靠修復嗎？
Hint_W1C1_24	把那顆充滿活力的種子\n給德庫爺爺的話，\n會發生什麼事呢？
Hint_W1C1_25	我們快朝碧姬公主城堡\n原本的所在地出發吧～！
Hint_W1C1_31	好像有一個柵欄\n歪歪的耶？\n看起來很像一碰就會倒。
Hint_W1C1_32	要是能想辦法處理這些草，\n說不定就能救出奇諾比奧了。
Hint_W1C1_33	要讓他恢復成紙片嗎？\n嗯……除了把他敲平外，\n我想不到其他的方法了。
Hint_W1C1_34	我覺得那張長椅在等我們坐上去。
Hint_W1C1_35	山上充滿了綠意，\n就連空氣都很清新呢。\n呀呼～
Hint_W1G1_1	城堡還沒到嗎？\n我覺得應該快到了才對。
Hint_W1G1_2	說不定是要用鎚子，\n敲打紙糊兵頭部後面的貼紙！？
Hint_W1G1_3	果然變虛弱了！\n再多敲幾下打倒他吧！
Hint_W1G1_4	裡面那扇大門好像就是\n碧姬公主城堡的城門呢。
Hint_W1G1_35	好像有什麼聲音。\n是從庭院那邊傳來的嗎？
Hint_W1G1_5	明明有聲音從庭院傳來，\n門卻打不開。\n還有其他可以打開的地方嗎？
Hint_W1G1_33	紙糊兵叼著一個人耶！\n真是個貪吃鬼～！
Hint_W1G1_6	要怎麼樣才能進到\n碧姬公主城堡呢……\n總之先到處走看看吧？
Hint_W1G1_7	下水道竟然跟碧姬公主城堡相連！\n究竟是怎麼一回事？
Hint_W1G1_8	紅色嘿呵……\n圓孔蓋是紅色嘿呵……\n要好好記住才行。
Hint_W1G1_9	對了，被紙糊兵叼著的人，\n是什麼顏色的呢？
Hint_W1G1_11	打開圓孔蓋的東西\n好像就在港口附近的紅磚倉庫裡。
Hint_W1G1_12	打開圓孔蓋的東西\n到底放在倉庫的哪裡呢？
Hint_W1G1_13	想看看架子上有什麼，\n可是太高了搆不著，\n只能搖搖看了嗎？
Hint_W1G1_14	哎呀，是魔法陣。
Hint_W1G1_15	圓孔蓋鐵撬看起來就是\n能打開下水道的圓孔蓋呢。
Hint_W1G1_16	打開下水道的入口了！\n這樣就能去城堡了嗎？
Hint_W1G1_18	調查一下城堡的原址，\n說不定可以找到你弟弟的線索！
Hint_W1G1_17	原本雄偉的城堡竟然變成這樣……\n瑪利歐的弟弟應該沒事吧……
Hint_W1G1_19	要是你想再找找能回憶路易吉\n的東西，我會陪你的……
Hint_W1G1_20	魔法陣？
Hint_W1G1_42	有人從牆壁裡掉出來了！\n得把他敲平才行！
Hint_W1G1_21	這附近會不會有\n碧姬公主城堡的線索呢？\n說不定可以四處調查一下。
Hint_W1G1_22	破銅爛鐵原本的位置那邊\n好像有一扇門呢。
Hint_W1G1_23	前方會不會有\n碧姬公主城堡的線索呢？
Hint_W1G1_24	紅色神祇膠帶的另一端\n會有什麼呢？
Hint_W1G1_38	紅色神祇膠帶在觀景山的山頂喔。
Hint_W1G1_25	聲音是從哪裡傳來的？\n敲敲那附近說不定\n會出現什麼喔。
Hint_W1G1_26	原來那個摺紙兵身上藏了魔法陣！
Hint_W1G1_27	橋上那個奇諾比奧好像很困擾呢。\n不管他嗎？
Hint_W1G1_28	接下來是藍色神祇膠帶。\n好像延伸到了火紅的山上。
Hint_W1G1_39	藍色神祇膠帶在楓葉山喔。
Hint_W1G1_40	既然有藍色神祇膠帶，\n那就得進去江戶園地才行。
Hint_W1G1_43	接下來是有黃色神祇膠帶的\n吹風谷對吧。
Hint_W1G1_48	黃色神祇膠帶在熱沙沙漠喔。
Hint_W1G1_47	我們在熱沙沙漠裡\n好像還有事情沒辦完，\n是什麼事呢？
Hint_W1G1_31	我記得紫色神祇膠帶好像在汪洋。\n那麼去港口就可以了嗎？
Hint_W1G1_30	雖然很在意紫色膠帶，\n但得想辦法拿到航海圖才行。\n比奧在博物館嗎？
Hint_W1G1_44	紫色神祇膠帶是在汪洋喔。\n要到港口搭船對吧。
Hint_W1G1_41	紫色神祇膠帶在海洋塔喔。
Hint_W1G1_45	那條一路延伸到天上的\n綠色神祇膠帶應該就是\n最後一條了！
Hint_W1G1_49	綠色神祇膠帶在天空水療園地的\n庫巴城堡吧。
Hint_W1G1_46	有了庫巴的秘密武器，\n我們終於能去碧姬公主城堡了……
Hint_W1G1_29	我們必須阻止王兄！\n從博物館裡那滿是水管的房間\n前往火山吧！
Hint_W1G1_32	這是什麼地方！？\n而且連個人影都沒有啊。
Hint_W1G1_34	我也想讓這邊的展覽品變得\n很多很多。\n瑪利歐，我們一起加油吧！
Hint_W1G1_36	博物館完成了！\n奇諾比奧鎮的大博物館！
Hint_W1G1_37	訓練的時間到了！
Hint_W1C2_1	好暗喔，什麼都看不到。\n有沒有電燈呢？
Hint_W1C2_2	原來城鎮下方長這樣啊。\n從哪裡可以去碧姬公主城堡呢？
Hint_W1C2_5	這裡感覺好寬敞啊。\n我們已經離開下水道了嗎？
Hint_W1C2_6	好不容易找到了水管……\n結果底下全是水。\n如果可以處理掉這些水就好了。
Hint_W1C2_10	那個紅色的轉盤是什麼啊？\n如果有雙長～長的手\n說不定就能搆得著了。
Hint_W1C2_11	他們在紅色轉盤前轉呀轉的，\n好像很開心呢。\n是在跳土風舞嗎？
Hint_W1C2_12	既然有魔法陣，\n那總會有辦法的！
Hint_W1C2_7	我真的很在意\n那個紅色轉盤跟魔法陣呢！
Hint_W1C2_8	有好多水流出來喔！\n水是從哪裡來的啊？
Hint_W1C2_9	既然水都流光了，\n那應該可以到水管那裡了。\n太好啦！
Hint_W1C2_90	雖然我看不太懂下水道的塗鴉，\n不過好有趣喔。\n下次過來會不會變多呢？
Hint_W1G2_1	紅色神祇膠帶一直延伸到那一頭。
Hint_W1G2_2	神祇膠帶一直延伸到了\n開滿花朵的山丘之外呢。
Hint_W1G2_3	慢慢龜看起來很慌張，\n是樓梯那邊發生了什麼\n不得了的狀況嗎？
Hint_W1G2_4	上次來這裡的時候，\n慢慢龜看起來慌慌張張的，\n我記得他們好像跑到樓梯那裡了？
Hint_W1G2_14	慢慢龜們最寶貝的球要被搶走了！\n瑪利歐，你有辦法幫幫他們嗎？
Hint_W1G2_8	雖然很在意那些烏龜球球，\n但也無法忽視那條一直延伸到\n山丘上的神祇膠帶呢。
Hint_W1G2_7	烏龜球球在哪裡？\n這附近好像沒有，\n要不要去觀景山看看呢？
Hint_W1G2_9	只要把烏龜球球拿到\n神聖之門那邊就行了吧？
Hint_W1G2_10	神聖之門神聖地開啟了！\n地神祇在裡面嗎？
Hint_W1G2_12	只要有地神祇的力量，\n就能解決觀景塔那邊的土堆了！
Hint_W1G2_13	我記得這裡有很多\n黑黑的小洞對不對？\n真有趣～
Hint_W1G3_1	努力爬到紅色膠帶那裡吧～
Hint_W1G3_3	不能對付那些可怕的大臉嗎！？\n有沒有什麼好辦法能讓瑪利歐\n像無敵星星一樣所向披靡呢？
Hint_W1G3_2	對了，開滿花朵的山丘附近已經\n都繞過一圈了嗎？\n有沒有什麼地方看漏了呢？
Hint_W1G3_7	我們爬山遇到的那些慢慢龜\n都很虔誠呢。
Hint_W1G3_8	那些慢慢龜會願意把烏龜球球\n轉讓給我們嗎？
Hint_W1G3_19	我記得山上好像有一面牆\n特別引人注目？\n就是有草叢沙沙作響的……
Hint_W1G3_9	又出現魔法陣了！
Hint_W1G3_20	附近有條河，\n應該很適合讓我們休息一下。
Hint_W1G3_10	慢慢龜的寶貝居然被魚搶走了，\n我們把魚釣起來吧！
Hint_W1G3_21	塔的另一頭好像還有路。
Hint_W1G3_11	那些紙糊的嘿呵\n看起來好像很開心耶？
Hint_W1G3_23	紙糊兵用烏龜球球在玩踢球！\n得阻止他們才行！
Hint_W1G3_24	瑪利歐！\n如果球傳到倒地的紙糊兵那邊，\n說不定你就有機會搶到喔！
Hint_W1G3_12	要把烏龜球球拿去哪呢？\n郊遊之路的樓梯下面嗎？
Hint_W1G3_13	得拜託地神祇幫忙處理\n那座土堆才行。\n是在郊遊之路吧？
Hint_W1G3_14	只要有地神祇的力量，\n就能解決觀景塔那邊的土堆了！
Hint_W1G3_15	好！\n朝紅色神祇膠帶的所在處，\n也就是觀景塔的頂端出發吧～！
Hint_W1G3_16	接下來的目標是藍色神祇膠帶。\n我還是第一次搭纜車呢！
Hint_W1G3_17	說不定釣上的魚越多，\n出現大魚的機率就越高喔。
Hint_W1C3_1	地神祇，你在哪啊～？\n聽到請回應我一下～
Hint_W1C3_2	地神祇不曉得有沒有聽到\n我的心願？\n要不要敲他問問看？
Hint_W1C3_3	地神祇，你在哪啊～？\n沒回應就表示在更裡面嗎？
Hint_W1C3_11	只要仔細觀察伸縮的岩石，\n應該就能抓準時機順利前進了！
Hint_W1C3_4	從側面仔細觀察伸縮的岩石，\n說不定會發現有哪塊特別可疑喔！
Hint_W1C3_5	到處都是火焰，感覺好危險喔！\n不過我相信一定會有安全的地方！
Hint_W1C3_6	哇～好大的龜殼！\n龜殼啊，請你保護我們吧～！\n
Hint_W1C3_7	我有預感，\n我們就快見到地神祇了。\n你準備好了嗎？
Hint_W1C3_8	地神祇變身後的那個\n令人好好奇唷。
Hint_W1C3_9	去觀景塔之前要先離開這裡才行。
Hint_W1C3_10	真不愧是慢慢龜們的觀光勝地呢，\n到處都是慢慢龜。
Hint_W1C4_1	好大的空心洞啊！\n應該要用很多很多\n神祇片才能填滿吧～
Hint_W1C4_2	膠帶就在上面呢。\n如果能搭那個上去，\n應該會很輕鬆吧？
Hint_W1C4_21	不能拉的話，\n要不要按按看那個呢？
Hint_W1C4_3	最上層……感覺有點可怕呢，\n不過只要跟瑪利歐在一起，\n就一定不會有事的！
Hint_W1C4_4	敲一敲～～\n危險的棍子～～\n應該比較好～～
Hint_W1C4_5	這麼一來，\n就只能爬樓梯了呢。
Hint_W1C4_8	餐廳裡發生什麼事了？\n要不要把各個地方都打開來\n調查看看呢？
Hint_W1C4_39	瑪利歐～！快想辦法處理掉\n餐廳裡的「那個」啦～！
Hint_W1C4_23	冰箱……裡的……盒子……\n傳出了……沙沙聲……
Hint_W1C4_29	瑪、瑪利歐！\n那、「那個」跑到你身上了！\n討厭～快點甩掉啦！
Hint_W1C4_30	上面應該也有吧！？\n把每個地方都敲一敲，\n看有沒有辦法爬上去吧！
Hint_W1C4_34	呀～有沙沙沙的聲音！\n聽說「那個」喜歡待在\n陰暗狹窄的地方，這是真的嗎！？
Hint_W1C4_31	「那個」還能在牆上爬嗎！？\n我一點都不想知道這種事啊！
Hint_W1C4_32	能找的地方都已經找過了嗎！？\n會不會躲在什麼東西後面……呀！
Hint_W1C4_33	這裡應該已經沒問題了……\n要去隔壁看看嗎？\n雖然我一點都不想去啦。
Hint_W1C4_24	哇！那邊還有「那個」啊～！\n快點解決掉啦！
Hint_W1C4_40	「那個」居然有這麼多隻，\n真是太可怕了……\n對了，往上的樓梯在哪裡？
Hint_W1C4_37	大災難總算平息了嗎？\n這麼一來躲在倉庫裡的\n廚師也能放心了吧。
Hint_W1C4_38	有好多神祇片喔！\n有這麼多的話，應該就能\n修復樓梯那邊的空心洞了！
Hint_W1C4_10	時髦的露天咖啡廳！？\n真想在裡面來場女孩子的聚會～！
Hint_W1C4_11	有棍子！\n躲開、快點躲開！
Hint_W1C4_12	如果有哪邊看起來很脆弱，\n說不定能用這些棍子來開個大洞！
Hint_W1C4_13	如果有個像梯子一樣，\n能讓我們往上爬的東西就好了！
Hint_W1C4_14	這些危險的棍子跟雨滴一樣\n不斷落下！\n下雨至少還能拿傘擋呢～！
Hint_W1C4_15	趕緊往上爬吧！？\n不然那些危險的棍子可能\n又會繼續攻擊我們喔！
Hint_W1C4_18	能不能從下方給膠帶一記重擊呢？
Hint_W1C4_19	魔法陣或許有辦法對付神祇膠帶。
Hint_W1C4_20	接下來的目標是藍色神祇膠帶！\n既然紅色膠帶已經消失，\n那應該可以搭纜車了。
Hint_W1C4_26	整座塔都破破爛爛的了。\n真希望他可以快點恢復原狀\n重新營業。
Hint_W1C4_27	塔已經恢復原狀了！\n太好了！
Hint_W2G1_1	藍色神祇膠帶到底延伸到哪裡了？
Hint_W2G1_2	往山上走說不定能找到\n對付藍色膠帶的方法喔？
Hint_W2G1_3	要是池子裡有滿滿的水，\n就可以搭船了吧。\n瑪利歐，你有辦法弄出水來嗎？
Hint_W2G1_4	炸彈彬總是一下子\n就跑到別的地方了，\n是不是那裡有什麼呢？
Hint_W2G1_5	去水神祇神殿說不定\n就能見到水神祇了。
Hint_W2G1_6	說不定炸彈彬\n已經先去水神祇神殿了。
Hint_W2G1_7	神殿前方那兩個四角形的東西\n是什麼啊？
Hint_W2G1_8	敲了神殿前方那四角形的\n東西也沒有反應……\n我們該怎麼辦才好？
Hint_W2G1_9	炸彈彬說不定還在金黃色\n草叢那邊，找不到出口呢。
Hint_W2G1_10	炸彈彬跑哪去了～！？\n感覺他好像會溜到一旁休息！
Hint_W2G1_11	炸彈彬從橋上掉下去了！\n難不成我們……\n也只能跟著跳下去嗎！？
Hint_W2G1_12	我的直覺告訴我，\n炸彈彬應該還在刺栗谷裡！
Hint_W2G1_13	只要有水神祇的力量，\n就可以讓池子恢復原狀，\n這樣小船也能浮起來了。
