album.msbt
armor.msbt
Fighter00	見習鎧甲
demo_3_1_SageTalk_18	那麼，\n後會有期吧。
demo_3_1_WestGate_00	嗚……不好了……！
demo_3_1_WestGate_01	大……大魔王他……\n往精靈村這裡來了……
demo_3_1_WestGate_02	但是，我相信……
demo_3_1_WestGate_03	大仙子們一定會\n保護我們的……
demo_3_1_WestGate_04	啊……拜託了……\n{[0f00|240054006f0077006e00300032005f0053006900730074006500720046006900720073007400]}大人……
demo_3_1_WestGate_05	……嗚！
demo_3_1_WestGate_06	{[1200|1a00530045005f00440045004d004f005f0053004c00450045005000]}……ZZZ
demo_3_1_WestGate_07	{[0f00|240054006f0077006e00300032005f0053006900730074006500720046006900720073007400]}大人……\n這樣不行啊……
demo_3_1_WestGate_08	{[1200|1a00530045005f00440045004d004f005f0053004c00450045005000]}{[1201]}呼嚕呼嚕……
demo_3_1_SisterThird_00	哇——！
demo_3_1_SisterThird_01	來人啊，不好了！\n大事不妙了！
demo_3_1_SisterThird_02	大大大、\n大魔王他……！
demo_3_1_SisterThird_03	姐姐他們……！
demo_3_1_SisterThird_04	啊哇哇哇！\n哇哇哇！
demo_3_1_SisterThird_05	大魔王{[0f00|0a0053006100740061006e00]}\n來到了精靈村！
demo_3_1_SisterThird_06	為了保護村子，\n大仙子三姊妹挺身而出。
demo_3_1_SisterThird_07	經過一番激烈的戰鬥，\n他們把大魔王從「東門」趕了出去！
demo_3_1_SisterThird_08	可是！
demo_3_1_SisterThird_09	在他們安心下來，\n放下警戒心的時候……
demo_3_1_SisterThird_10	大姐和二姐\n被怪物抓走了！
demo_3_1_SisterThird_11	……事情大概就是這樣。
demo_3_1_SisterThird_12	呼……呼……
demo_3_1_SisterThird_13	……呼。\n冷靜下來了。
demo_3_1_SisterThird_14	對了，你啊……
demo_3_1_SisterThird_15	來幫幫我，一起去救\n{[0f00|260054006f0077006e00300032005f005300690073007400650072005300650063006f006e006400]}姐姐吧。
demo_3_1_SisterThird_16	那麼，\n我們出發吧。
demo_3_1_SisterThird_17	{[0f00|240054006f0077006e00300032005f0053006900730074006500720054006800690072006400]}成為了同伴！
demo_3_1_SisterThird_18	我們去果汁洞窟\n拯救{[0f00|260054006f0077006e00300032005f005300690073007400650072005300650063006f006e006400]}姐姐吧。
demo_3_1_SisterThird_19	Let's Go！
demo_3_1_SisterThird_20	真是的，\n你要讓我一個人去嗎？
demo_3_1_SisterThird_21	求求你了，\n拜託幫幫我嘛～
demo_3_1_SisterThird_22	嗯？
demo_3_1_PreBoss_SisterSecond_00	{[0f00|260054006f0077006e00300032005f005300690073007400650072005300650063006f006e006400]}姐姐！
demo_3_1_PreBoss_SisterSecond_01	……！
demo_3_1_PreBoss_SisterSecond_02	「喀沙喀沙！」
demo_3_1_PostBoss_SisterSecond_02	得救了。\n謝謝你。
demo_3_1_PostBoss_SisterSecond_03	那個……
demo_3_1_PostBoss_SisterSecond_04	我想要去拯救\n{[0f00|240054006f0077006e00300032005f0053006900730074006500720046006900720073007400]}姐姐。
demo_3_1_PostBoss_SisterSecond_05	你可以\n幫幫我嗎？
demo_3_1_PostBoss_SisterSecond_06	那麼，請讓我\n跟你一起去吧。
demo_3_1_PostBoss_SisterSecond_07	{[0f00|260054006f0077006e00300032005f005300690073007400650072005300650063006f006e006400]}成為了同伴！
demo_3_1_PostBoss_SisterSecond_08	{[0f00|240054006f0077006e00300032005f0053006900730074006500720054006800690072006400]}，\n你去守護村子吧。
demo_3_1_PostBoss_SisterSecond_09	好的～
demo_3_1_PostBoss_SisterSecond_10	{[0f00|240054006f0077006e00300032005f0053006900730074006500720054006800690072006400]}離開了隊伍！
demo_3_1_PostBoss_SisterSecond_17	姐姐他們就\n拜託你了。
demo_3_1_PostBoss_SisterSecond_11	{[0f00|240054006f0077006e00300032005f0053006900730074006500720046006900720073007400]}姐姐\n在大樹森林裡……大概。
demo_3_1_PostBoss_SisterSecond_12	我們走吧。
demo_3_1_PostBoss_SisterSecond_13	我說～！\n你也太過分了吧！
demo_3_1_PostBoss_SisterSecond_14	{[0f00|240054006f0077006e00300032005f0053006900730074006500720054006800690072006400]}，\n這樣很失禮。
demo_3_1_PostBoss_SisterSecond_15	那個……
demo_3_1_PostBoss_SisterSecond_16	求你幫幫我們，\n好嗎？
demo_3_1_PreBoss_SisterFirst_00	{[0f00|240054006f0077006e00300032005f0053006900730074006500720046006900720073007400]}姐姐！
demo_3_1_PreBoss_SisterFirst_01	……
demo_3_1_PreBoss_SisterFirst_02	「呵——呵——，呵哇——！」
demo_3_1_PostBoss_SisterFirst_02	我還在擔心事情\n會變成怎樣呢，呵呵。
demo_3_1_PostBoss_SisterFirst_03	姐姐，那個……
demo_3_1_PostBoss_SisterFirst_04	哎呀，對了。
demo_3_1_PostBoss_SisterFirst_05	你想追著大魔王\n前往東邊吧？
demo_3_1_PostBoss_SisterFirst_06	呵呵，好吧。
demo_3_1_PostBoss_SisterFirst_07	那麼，我就在東門\n那邊等你們吧。
demo_3_1_PostBoss_SisterFirst_08	我們走吧，\n{[0f00|260054006f0077006e00300032005f005300690073007400650072005300650063006f006e006400]}。
demo_3_1_PostBoss_SisterFirst_09	等等，姐姐！
demo_3_1_PostBoss_SisterFirst_10	那個……\n謝謝你。
demo_3_1_PostBoss_SisterFirst_11	{[0f00|260054006f0077006e00300032005f005300690073007400650072005300650063006f006e006400]}離開了隊伍！
demo_3_1_EastGate_00	呵呵，終於\n來了呢。
demo_3_1_EastGate_01	那麼，\n我們開始吧。
demo_3_1_EastGate_02	好的。
demo_3_1_EastGate_03	好的～
demo_3_1_EastGate_04	東門打開！
demo_3_1_EastGate_05	哇哈哈哈！
demo_3_1_EastGate_06	你們居然還\n幫我開門！
demo_3_1_EastGate_07	真是一群蠢傢伙！
demo_3_1_EastGate_08	啊哇哇哇！
demo_3_1_EastGate_09	哇哈哈哈！
demo_3_1_EastGate_10	啊啊——！
demo_3_1_EastGate_11	這樣，你們就無法\n使用大仙子的魔法了。
demo_3_1_EastGate_12	嘿嘿嘿，\n這次我一定要……
demo_3_1_EastGate_13	得到村民們的臉！
demo_3_1_EastGate_14	哇哈哈哈！
demo_3_1_EastGate_15	啊啊……\n{[0f00|240054006f0077006e00300032005f0053006900730074006500720054006800690072006400]}
demo_3_1_EastGate_16	啊啊……\n又大意了！
demo_3_1_EastGate_17	我們先把他帶回\n村子裡去。
demo_3_1_EastGate_18	對不起。
demo_3_1_EastGate_19	一道巨大的門擋住了道路。
demo_3_1_EastGate_20	現在似乎無法前進。
demo_3_1_SisterFirst_00	我們到達的時候，\n村子已經……
demo_3_1_SisterFirst_01	大魔王似乎\n心滿意足地回去了。
demo_3_1_SisterFirst_02	我要去\n拯救大家。
demo_3_1_SisterFirst_03	那個，\n你也能幫忙嗎？
demo_3_1_SisterFirst_04	呵呵，\n謝謝你。
demo_3_1_SisterFirst_05	{[0f00|240054006f0077006e00300032005f0053006900730074006500720046006900720073007400]}成為了同伴！
demo_3_1_SisterFirst_06	{[0f00|260054006f0077006e00300032005f005300690073007400650072005300650063006f006e006400]}，\n村子就拜託你了。
demo_3_1_SisterFirst_07	知道了，姐姐。
demo_3_1_SisterFirst_08	那麼，\n我們走吧。
demo_3_1_SisterFirst_09	那個……\n我也有一個請求。
demo_3_1_SisterFirst_10	請你幫幫{[0f00|240054006f0077006e00300032005f0053006900730074006500720046006900720073007400]}姐姐。
demo_3_1_PreBoss_SisterThird_00	哇！\n姐姐！
demo_3_1_PreBoss_SisterThird_01	{[0f00|240054006f0077006e00300032005f0053006900730074006500720054006800690072006400]}！\n你在哪裡！？
demo_3_1_PreBoss_SisterThird_02	是從那邊傳來的！
demo_3_1_PreBoss_SisterThird_03	你等一下！\n我馬上就過去！
demo_3_1_PreBoss_SisterThird_04	啊哇哇哇！
demo_3_1_Ending_00	這樣所有人都\n救出來了呢。
demo_3_1_Ending_01	謝謝你！
demo_3_1_Ending_02	很不錯嘛！\n我就破例表揚你一下。
demo_3_1_Ending_03	我的旅程就\n到此結束了呢。
demo_3_1_Ending_04	謝謝你，\n呵呵。
demo_3_1_Ending_05	{[0f00|240054006f0077006e00300032005f0053006900730074006500720046006900720073007400]}離開了隊伍！
demo_3_1_Ending_06	好了……
demo_3_1_Ending_07	你的旅程\n還很漫長呢。
demo_3_1_Ending_08	那麼，\n就如約定的那樣……
demo_3_1_Ending_09	為你打開道路吧！
demo_3_1_Ending_10	好！
demo_3_1_Ending_11	好～！
demo_3_1_Ending_13	呵呵，\n要好好保重哦。
demo_3_1_Ending_14	祝你\n平安無事。
demo_3_1_Ending_15	你可不要輸給\n大魔王那傢伙啊！
demo_3_1_Ending_16	謝謝～！
demo_3_1_PreBoss_Coward_00	啊！
demo_3_1_PreBoss_Fans_00	嗚啊！
demo_3_1_PreBoss_Fans_01	哇啊！
demo_3_1_PreBoss_Fans_02	唔哈！
demo_3_1_PreBoss_Imp_00	哇！
demo_3_2_PostBoss_SisterThird_00	哎呀呀。
demo_3_2_PostBoss_SisterThird_01	{[0f00|240054006f0077006e00300032005f0053006900730074006500720054006800690072006400]}的臉\n飛走了呢。
demo_3_2_PostBoss_SisterThird_02	似乎是回到\n村子裡了。
demo_3_2_PostBoss_SisterThird_03	是喔，那就太好了。\n呵呵。
demo_3_2_PostBoss_SisterThird_04	這都是你的功勞呢。\n謝謝你。
demo_3_2_PostBoss_SisterThird_05	嘿嘿。
demo_3_1_BigTreeDoor_00	是死胡同啊……
demo_3_1_BigTreeDoor_01	雖然牆上有個洞……
demo_3_1_BigTreeDoor_03	啊！剛剛\n拿到的石版！
demo_3_1_BigTreeDoor_04	石版完美嵌進去了！
demo_3_1_BigTreeDoor_05	成功了～！
demo_3_1_BigTreeDoor_06	我們繼續前進吧！
demo_3_2_ElfForestDoor_00	是死胡同啊……
demo_3_2_ElfForestDoor_01	雖然牆上有3個洞……
demo_3_2_ElfForestDoor_02	但現在似乎無法前進。
demo_3_2_ElfForestDoor_03	啊！剛剛\n得到的寶石！
demo_3_2_ElfForestDoor_04	寶石完美嵌進去了！
demo_3_2_ElfForestDoor_05	可是，還是沒打開啊。
demo_3_2_ElfForestDoor_06	似乎還需要1個寶石。
demo_3_2_ElfForestDoor_07	似乎還需要2個寶石。
demo_3_2_ElfForestDoor_08	成功了～！
demo_3_2_ElfForestDoor_09	我們繼續前進吧！
Dm_3_4_OverChapter_00	呃……\n大家……？
Dm_3_4_OverChapter_01	難道～！？
Dm_3_4_OverChapter_02	呵呵呵，\n這是第三次了呢。
Dm_3_4_OverChapter_03	大魔王{[0f00|0a0053006100740061006e00]}那傢伙，\n還真是難纏呢。
Dm_3_4_OverChapter_04	你的同伴\n都被抓走了。
Dm_3_4_OverChapter_05	他們就在前面的\n大魔王城裡面。
Dm_3_4_OverChapter_06	好，\n出發吧！
Dm_3_4_OverChapter_07	嗯……咦？
Dm_3_4_OverChapter_08	呵呵呵，\n沒錯。
Dm_3_4_OverChapter_09	這一次大魔王的詛咒\n似乎沒有生效。
Dm_3_4_OverChapter_10	哦哦！
Dm_3_4_OverChapter_11	我想，是因為神力\n在旅途中漸漸成長了。
Dm_3_4_OverChapter_12	我也為你感到自豪哦！
Dm_3_4_OverChapter_13	好了，大魔王城就在眼前。\n去吧，{[0300|00cd]}！
Dm_3_4_OverChapter_14	呵呵呵。
demo_chapter04.msbt
demo_4_ReturnFace_Word	{[0305|00cd]}
demo_4_ReturnFace_Kind	太好了！
demo_4_ReturnFace_Vital	哦～！
demo_4_ReturnFace_Goofy	哇～！
demo_4_ReturnFace_Mypace	呼……
demo_4_ReturnFace_Rocky	嗯……
demo_4_ReturnFace_Wary	……（緊張）
demo_4_ReturnFace_Cool	……哼。
demo_4_2_PostBossCerberus_00	啊，\n{[0300|00cd]}。
demo_4_2_PostBossCerberus_01	就是你\n救了我們吧！
demo_4_2_PostBossCerberus_02	謝謝你！
demo_4_2_PostBossCerberus_03	剩下的3人\n在大魔王城裡！
demo_4_2_PostBossCerberus_04	雖然很害怕……\n但我們走吧！
demo_4_2_PostBossCerberus_05	要一起加油！
demo_4_2_PostBossCerberus_06	好，\n那我們出發吧！
demo_4_2_PostBossCerberus_07	我們\n先走一步了哦！
demo_4_2_PostBossCerberus_08	待會見～
demo_4_2_PostBossCerberus_09	{[0300|04cd]}他們去了旅館！
demo_4_2_PostBossCerberus_10	嗯，這樣就\n救了6個人。
demo_4_2_PostBossCerberus_11	你已經擁有\n足夠的戰鬥力了呢。
demo_4_2_PostBossCerberus_12	嗯嗯。
demo_4_2_PostBossCerberus_13	我的工作\n就到此結束了。
demo_4_2_PostBossCerberus_14	接下來\n就交給你們了。
demo_4_2_PostBossCerberus_15	希望你們能\n平安無事。
demo_4_2_PostBossCerberus_16	一直以來\n很感謝你！
demo_4_2_PostBossCerberus_17	大賢者{[0f00|08005300610067006500]}離開了隊伍！
demo_4_2_PostBossCerberus_18	讓你們受苦了……
demo_4_2_PostBossCerberus_19	呃？
demo_4_2_PostBossCerberus_20	不，沒什麼。
demo_Separate_00	嗯？
demo_Separate_01	啊！
demo_Separate_02	和大家走散了……
demo_Separate_03	沒辦法了。\n繼續前進吧。
demo_Separate_04	呼……
demo_Separate_05	不知道大家\n現在怎麼樣了……
demo_Separate_06	在那同時……\n走散的同伴們……
demo_Separate_07	乾等\n也不是辦法。
demo_Separate_08	繼續前進吧。
demo_Separate_09	啊，那是！
demo_Separate_10	喂～\n{[0300|01cd]}！
demo_Separate_11	沒事\n真的太好了！
demo_Separate_12	跟失散的同伴匯合了！
demo_Separate_13	同伴被\n分成兩組了！
demo_4_2_SeeSatanCastle_00	那就是\n大魔王城……！
demo_4_2_SeeSatanCastle_01	走吧，我們去\n拯救3位同伴。
demo_4_2_SeeSatanCastle_02	然後\n打倒大魔王！
demo_4_3_PreBoss00_00	{[0300|04cd]}！
demo_4_3_PreBoss00_01	……！
demo_4_3_PreBoss00_02	喀喀喀喀！
demo_4_3_PreBoss01_00	{[0300|04cd]}！
demo_4_3_PreBoss01_01	……！
demo_4_3_PreBoss01_02	「哇哈哈哈！」
demo_4_3_PreBoss02_00	{[0300|04cd]}！
demo_4_3_PreBoss02_01	……！
demo_4_3_PreBoss02_02	「喀嚓喀嚓、喀噹！」
demo_4_3_PostBoss00_00	{[0300|00cd]}，\n你來了！
demo_4_3_PostBoss00_01	嗯，平安無事\n真的太好了。
demo_4_3_PostBoss00_03	我也要\n一起戰鬥！
demo_4_3_PostBoss00_04	但是，我要先\n休息一下。
demo_4_3_PostBoss00_05	{[0300|04cd]}去了旅館！
demo_4_3_PostBoss01_00	嚇！\n這裡是！？
demo_4_3_PostBoss01_01	我記得大魔王把我們\n帶到這裡來了……
demo_4_3_PostBoss01_02	然後呢……？
demo_4_3_PostBoss01_03	嗚……\n腦袋有點混亂……
demo_4_3_PostBoss01_04	我先去\n休息一下好了。
demo_4_3_PostBoss01_05	{[0300|04cd]}去了旅館！
demo_4_3_PostBoss01_06	{[0300|04cd]}……\n沒問題吧……
demo_4_3_PostBoss02_00	{[0300|00cd]}，\n我一直都相信……
demo_4_3_PostBoss02_01	你一定會來\n救我的！
demo_4_3_PostBoss02_02	哎呀，當然吶！
demo_4_3_PostBoss02_03	呵呵，\n謝謝你。
demo_4_3_PostBoss02_04	那我就先走一步了。\n我會等你的！
demo_4_3_PostBoss02_05	{[0300|04cd]}去了旅館！
demo_4_3_PostBoss02_06	好，這樣就把\n所有人都救出來了。
demo_4_3_PostBoss02_07	接下來就只剩\n打倒大魔王了。
demo_4_3_PostBoss02_08	加油吧！
demo_4_3_PreBossDragon_00	嗯？
demo_4_3_PreBossDragon_01	怎麼了怎麼了？
demo_4_3_PreBossDragon_02	啊！
demo_4_3_PostBossDragon_00	嗚……
demo_4_3_PostBossDragon_01	啊！
demo_4_3_PostBossDragon_02	這裡是……？\n我懂了。
demo_4_3_PostBossDragon_03	是你救了我，\n對吧。
demo_4_3_PostBossDragon_04	謝謝你～
demo_4_3_PostBossDragon_05	我是龍。
demo_4_3_PostBossDragon_06	不知道為什麼，\n我突然失去了意識……
demo_4_3_PostBossDragon_07	然後似乎在不知情之下\n大鬧起來了呢。
demo_4_3_PostBossDragon_08	真的很抱歉。
demo_4_3_PostBossDragon_09	呵欠……
demo_4_3_PostBossDragon_10	可能是因為鬧了一場，\n現在有點累了。
demo_4_3_PostBossDragon_11	晚安～
demo_4_3_PreBossSatan _00	哇哈哈哈！
demo_4_3_PreBossSatan _01	是你啊？\n好久不見了呢。
demo_4_3_PreBossSatan _02	大魔王{[0f00|0a0053006100740061006e00]}，\n做好覺悟吧！
demo_4_3_PreBossSatan _03	你是想要\n打倒我嗎？
demo_4_3_PreBossSatan _04	哇哈哈哈！
demo_4_3_PreBossSatan _05	你真是一個\n有趣的傢伙。
demo_4_3_PreBossSatan _06	因為覺得好玩，\n所以之前一直奉陪……
demo_4_3_PreBossSatan _07	但現在差不多\n該來個了結了。
demo_4_3_PreBossSatan _08	你的那張臉，\n我就收下了！
demo_4_3_PreBossSatan _09	我們是\n不會輸的！
demo_4_3_PreBossSatan _10	來吧！\n大魔王{[0f00|0a0053006100740061006e00]}！
demo_4_3_PreBossSatan _11	哇……
demo_4_3_PreBossSatan _12	哇哈……
demo_4_3_PreBossSatan _13	把你的靈魂！
demo_4_3_PreBossSatan _14	還有生命都給我！
demo_4_3_PostBossSatan_00	嗚……
demo_4_3_PostBossSatan_01	這裡\n到底是……？
demo_4_3_PostBossSatan_02	我在這裡\n做什麼……？
demo_4_3_PostBossSatan_04	嗯。
demo_4_3_PostBossSatan_05	終於打倒\n大魔王了嗎？
demo_4_3_PostBossSatan_06	真了不起啊。
demo_4_3_PostBossSatan_07	我就知道\n你一定會成功的。
demo_4_3_PostBossSatan_08	嗯？
demo_4_3_PostBossSatan_09	哇！
demo_4_3_PostBossSatan_11	危險！
demo_4_3_PostBossSatan_14	哇啊啊啊啊啊啊！
demo_4_3_PostBossSatan_15	哦，這就是我的\n新身體嗎？
demo_4_3_PostBossSatan_16	唔噢噢……\n我感受到力量湧出！
demo_4_3_PostBossSatan_17	這就是大賢者的\n力量嗎！？
demo_4_3_PostBossSatan_18	有了大賢者的力量，\n我已經……
demo_4_3_PostBossSatan_19	成了超越大魔王的魔王！\n沒錯，我就是超魔王！
demo_4_3_PostBossSatan_20	唔哇哈哈哈！！
demo_4_3_DragonFly_00	呵呵呵，\n是我，我是神哦。
demo_4_3_DragonFly_01	事情變棘手了呢。
demo_4_3_DragonFly_02	看來魔王的真身就是\n剛才那團模模糊糊的東西。
demo_4_3_DragonFly_03	凡人被{[0f00|0a0053006100740061006e00]}附身後，\n就成為了大魔王。
demo_4_3_DragonFly_04	而這一次，那傢伙奪走了\n大賢者{[0f00|08005300610067006500]}的身體。
demo_4_3_DragonFly_05	不僅是身體，\n還奪走了他的力量。
demo_4_3_DragonFly_06	得到大賢者力量的\n超魔王無比強大哦。
demo_4_3_DragonFly_07	但是，你和你的同伴\n也能漸漸變得更強。
demo_4_3_DragonFly_08	為了拯救世界，\n能拜託你打倒超魔王嗎？
demo_4_3_DragonFly_09	那麼，就交給你了。\n呵呵呵。
demo_4_3_DragonFly_10	{[0e00|03cd08005300610067006500]}大賢者{[0f00|08005300610067006500]}\n為了保護我……
demo_4_3_DragonFly_11	我一定要去救他！
demo_4_3_DragonFly_12	可是……
demo_4_3_DragonFly_13	要怎樣才能追上\n超魔王呢……？
demo_4_3_DragonFly_14	早安～
demo_4_3_DragonFly_15	你看起來\n很苦惱呢。
demo_4_3_DragonFly_16	嗯～原來如此。\n超魔王啊……
demo_4_3_DragonFly_17	好吧！
demo_4_3_DragonFly_18	為了報答你的救命之恩，\n就讓我來幫你吧。
demo_4_3_DragonFly_19	來，上來吧！
demo_4_2_PreBossCerberus_00	嗯？\n那是什麼？
demo_4_2_PreBossCerberus_01	嗯……我聽到\n吼叫聲呢。
demo_4_2_PreBossCerberus_02	是狗嗎？\n而且還有很多隻。
demo_4_2_PreBossCerberus_03	你要小心一點。\n這個聲音恐怕是……
demo_4_2_PreBossCerberus_04	地獄的看門狗——\n地獄三頭犬！
demo_4_1_PostBoss_00_00	{[0e00|03cd0e004800650072006f005f0030003300]}{[0300|03cd]}的臉飛走了。
demo_4_1_PostBoss_00_01	嗯，\n朝洞穴的方向。
demo_4_1_PostBoss_00_02	{[0300|03cd]}\n得救了嗎？
demo_4_1_PostBoss_00_03	應該吧。
demo_4_1_PostBoss_00_04	我們回去洞穴那邊\n確認一下吧。
demo_4_1_PostBoss_01_00	呼……
demo_4_1_PostBoss_01_01	這樣就救了\n第2個人了呢。
demo_4_1_PostBoss_01_02	嗯。
demo_4_1_PostBoss_01_03	{[0e00|03cd0e004800650072006f005f0030003300]}好想快點見到\n{[0300|03cd]}啊。
demo_4_1_PostBoss_01_04	馬上就能\n見到了。
demo_4_1_PostBoss_01_05	我們回\n洞穴吧。
demo_4_1_PostBoss_02_00	這樣就把3個人\n都救出來了呢。
demo_4_1_PostBoss_02_01	嗯，可是……
demo_4_1_PostBoss_02_02	還有其他\n被抓走的同伴……
demo_4_1_PostBoss_02_03	唔，這樣啊……
demo_4_1_PostBoss_02_04	總之……
demo_4_1_PostBoss_02_05	先回洞穴\n一趟吧。
demo_4_1_PostBoss_02_06	同意。
demo_4_1_PostBoss_02_07	{[0e00|03cd0e004800650072006f005f0030003300]}聽聽{[0300|03cd]}怎麼說。
demo_chapter05.msbt
demo_5_TalkOnDragon00	哇啊～！{[0004]}原來世界是\n這～麼大的！
demo_5_TalkOnDragon01	很壯觀吧～
demo_5_TalkOnDragon02	可是，\n這麼廣闊的話……
demo_5_TalkOnDragon03	不就很難找到\n超魔王{[0f00|08005300610067006500]}了嗎？
demo_5_TalkOnDragon04	嗯～\n也是呢～
demo_5_TalkOnDragon05	啊！對了！
demo_5_TalkOnDragon06	什麼什麼？
demo_5_TalkOnDragon07	你知道\n旅人鎮嗎？
demo_5_TalkOnDragon08	嗯？\n真的知道嗎？
demo_5_TalkOnDragon09	那我就\n不多說了。
demo_5_TalkOnDragon10	去旅人鎮的話，\n或許就能找到線索。
demo_5_TalkOnDragon11	好，出發吧！
demo_5_TalkOnDragon12	旅人鎮，\n鎮如其名……
demo_5_TalkOnDragon13	是聚集了眾多\n旅人的地方。
demo_5_TalkOnDragon14	全世界的旅人\n都會來到這裡。
demo_5_TalkOnDragon15	這樣啊～
demo_5_TalkOnDragon16	或許會有人\n知道些什麼。
demo_5_TalkOnDragon17	那麼，\n我們去看看吧！
demo_5_GoGrassWay00	我們收集到所有\n超級摩天大樓的寶石了。
demo_5_GoGrassWay01	什麼什麼？
demo_5_GoGrassWay02	這樣就能進入\n超級摩天大樓了。
demo_5_GoGrassWay03	然後，\n就把超魔王……
demo_5_GoGrassWay04	把超魔王{[0f00|08005300610067006500]}\n給打倒！
demo_5_GoGrassWay05	呃，那個……
demo_5_GoGrassWay05_a	{[0f00|08005300610067006500]}……
demo_5_GoGrassWay06	是你的朋友吧？
demo_5_GoGrassWay07	對啊。
demo_5_GoGrassWay08	你要和自己的\n朋友戰鬥嗎？
demo_5_GoGrassWay09	……這個嘛。
demo_5_GoGrassWay10	超魔王並不是\n真正的{[0f00|08005300610067006500]}。
demo_5_GoGrassWay11	我必須這麼做。
demo_5_GoGrassWay12	看來你已經\n做好覺悟了呢。
demo_5_GoGrassWay13	嗯！
demo_5_GoGrassWay14	果然還是\n太痛苦了。
demo_5_GoGrassWay15	嗯……
demo_5_GoGrassWay16	可是，我覺得{[0f00|08005300610067006500]}\n一定更加痛苦。
demo_5_GoGrassWay17	所以，\n你必須要去。
demo_5_GoGrassWay18	那麼，\n我帶你下去囉。
demo_5_GoGrassWay19	麻煩你了。
demo_5_GoGrassWay20	加油吧，\n{[0300|00cd]}。
demo_5_GlassWayDoor_00	這就是\n超級摩天大樓……
demo_5_GlassWayDoor_01	超魔王{[0f00|08005300610067006500]}\n就在這裡面！
demo_5_GlassWayDoor_02	可是……
demo_5_GlassWayDoor_03	大門緊緊地關著！
demo_5_GlassWayDoor_04	這4個洞……\n真令人在意。
demo_5_GlassWayDoor_05	像之前那樣把寶石\n嵌進去的話會打開嗎……？
demo_5_GlassWayDoor_06	回去\n找找看吧！
demo_5_GlassWayDoor_07	去旅人鎮\n收集情報吧！
demo_5_GlassWayDoor_08	好了，\n把找到的寶石……
demo_5_GlassWayDoor_09	寶石完美嵌進去了！
demo_5_GlassWayDoor_10	再來3個\n就可以打開了吧。
demo_5_GlassWayDoor_11	再來2個\n就可以打開了吧。
demo_5_GlassWayDoor_12	再來1個\n就可以打開了吧。
demo_5_GlassWayDoor_13	好～\n來找找看吧～！
demo_5_GlassWayDoor_15	已確認\n找到4個寶石～
demo_5_GlassWayDoor_16	終於來到\n這一刻了！
demo_5_GlassWayDoor_17	把寶石往洞裡\n嵌進去……
demo_5_GlassWayDoor_18	超級摩天大樓的大門打開了！
demo_5_GlassWayDoor_19	成功了～！
demo_5_GlassWayDoor_20	好，\n我們走吧！
demo_5_AppearTower_00	是……超魔王嗎？
demo_5_AppearTower_01	不久之前我有看過\n類似的東西哦。
demo_5_AppearTower_02	在天空中飛翔的\n不祥黑影。
demo_5_AppearTower_03	那個可能就是\n超魔王吧。
demo_5_AppearTower_04	他往哪裡去了？
demo_5_AppearTower_05	嗯……
demo_5_AppearTower_06	啊，這麼說起來……
demo_5_AppearTower_07	那時候我看到天空中\n有一座巨大的塔……
demo_5_AppearTower_08	黑影就是在\n塔的方向消失的。
demo_5_AppearTower_09	我記得應該是\n在那邊。
demo_5_AppearTower_10	{[1201]}……（盯）
demo_5_AppearTower_11	啊！
demo_5_AppearTower_12	謝謝你！\n幫大忙了！
demo_5_AppearTower_13	不客氣。
demo_5_AppearTower_14	找到超魔王{[0f00|08005300610067006500]}的\n所在地了！
demo_5_AppearTower_15	乘著龍前往\n超級摩天大樓吧！
demo_chapter06.msbt
demo_6_Welcome_00	唔哇哈哈哈！！
demo_6_Welcome_01	這聲音是……\n超魔王{[0f00|08005300610067006500]}？
demo_6_Welcome_02	好久不見了。
demo_6_Welcome_03	你是來\n見我的吧？
demo_6_Welcome_04	不出我所料，\n你來到這裡了……
demo_6_Welcome_05	那就讓我\n看看你的力量吧！
demo_6_Welcome_06	對了，讓我\n告訴你一件事。
demo_6_Welcome_07	我已經把你的一些\n老朋友叫到這座塔來了。
demo_6_Welcome_08	你就好好期待\n重逢的一刻吧。
demo_6_Welcome_09	唔哇哈哈哈！！
demo_6_Welcome_10	聲音……消失了。
demo_6_Welcome_11	我們走吧。
demo_6_PrePhantomSatan_00	那個人\n在哪裡見過呢……
demo_6_PrePhantomSatan_01	……！
demo_6_PrePhantomSatan_02	沒事嗎？
demo_6_PrePhantomSatan_03	嗚哇！\n救命啊！
demo_6_PostPhantomSatan_00	遇到\n可怕的事了……
demo_6_PostPhantomSatan_01	啊，\n你還記得我嗎？
demo_6_PostPhantomSatan_02	大魔王……？
demo_6_PostPhantomSatan_03	沒錯，雖然我現在\n已經是普通人了。
demo_6_PostPhantomSatan_04	你是誰……？
demo_6_PostPhantomSatan_05	我是前大魔王\n{[0f00|160046006f0072006d006500720053006100740061006e00]}唷。
demo_6_PostPhantomSatan_06	因為大魔王被打倒了，\n所以魔王的詛咒……
demo_6_PostPhantomSatan_07	已經從我身上\n解除了。
demo_6_PostPhantomSatan_08	雖然大魔王\n做了很多壞事……
demo_6_PostPhantomSatan_09	但那都不是\n我自己的意願。
demo_6_PostPhantomSatan_10	希望你至少能\n相信這一點。
demo_6_PostPhantomSatan_11	話說，你啊……
demo_6_PostPhantomSatan_12	要跟新的魔王……\n超魔王戰鬥嗎？
demo_6_PostPhantomSatan_13	嗯，\n對啊。
demo_6_PostPhantomSatan_14	我想要為大魔王做的\n壞事做出補償。
