BestScore\BestScore.msbt
BestScore_Title	最高得分
Contents_47_Description	跳過牆壁，前往終點吧。
Contents_47_NXGuide_01	前進
Contents_48_Title	狙射樹梟一球也不留
Contents_48_Description	用箭射穿全部的氣球吧。
Contents_48_NXGuide_01	選擇
Contents_48_NXGuide_02	抓起
Contents_48_NXGuide_11	移動
Contents_48_NXGuide_12	放開
Contents_48_NXGuide_13	復原
Contents_49_Title	方塊穿牆秀
Contents_49_Description	方塊可以通過的是哪面牆呢？
Contents_49_NXGuide_01	選擇
Contents_49_NXGuide_02	決定
Contents_50_Title	火球鼠亮謎底
Contents_50_Description	這是哪個方塊的影子呢？
Contents_50_NXGuide_01	旋轉
Contents_50_NXGuide_02	選擇
Contents_50_NXGuide_03	決定
Contents_51_Title	堵堵地鼠洞
Contents_51_Description	用方塊把洞補起來吧。
Contents_51_NXGuide_01	選擇
Contents_51_NXGuide_02	抓起
Contents_51_NXGuide_03	旋轉
Contents_51_NXGuide_11	移動
Contents_51_NXGuide_12	放開
Contents_51_NXGuide_13	旋轉
Contents_51_NXGuide_14	復原
Ingame\Result.msbt
Result_ContentsRsult_Title	各個題目的成果
Result_ContentsRsult_Correct	正確
Result_ContentsRsult_Time	時間
Result_TotalResult_Title	總成果
Result_TotalResult_Length_01	解開的線有……
Result_TotalResult_Length_02	cm
Result_TotalResult_Length_cm_E	cm
Result_TotalResult_Highscore	新紀錄！
Result_TotalResult_Next	OK
Result_RewardsCommon	纏得亂亂的線和頭腦都鬆解了！\n獲得了{[0105|00cd]}！
Result_RewardsCommon_OK	OK
Result_RewardsSmallItodma_02	5個小線團變成了{[0105|00cd]}！
Result_RewardsSmallItodma_OK	OK
Result_RewardsBonus_TitleOK	OK
Result_RewardsBonus_Common	認真地解了{[0101|0300000000cd]}天的線，真是太棒了！\n請收下{[0105|00cd]}！
Machine\Machine.msbt
Machine_Title	布偶機
Machine_Create_Title	請選擇要放進布偶機的線團。
Machine_Create_ItodamaName	{[0105|00cd]}
Machine_Create_Title_OK	OK
Machine_Create_Nothing	沒有線團。
Machine_Create_New	NEW
Machine_Create_Success_01	完成了{[0107]}！
Machine_Create_Success_01_First	第一次完成了{[0107]}！
Machine_Create_Success_01_OK	OK
Machine_Create_Success_02	還有1個呢！！\n完成了{[0107]}！
Machine_Create_Success_02_First	還有1個呢！！\n第一次完成了{[0107]}！
Machine_Create_Success_02_OK	OK
Machine_Create_Catalog_01	完成了{[0107]}！
Machine_Probability_Title	提供比例
Machine_Probability_Button	%
Machine_Probability_Nui	{[0107]}
Machine_Probability_Percent	{[0102|02000000020000000001]}{size[5000]}%{size[6400]}
Machine_Probability_Caution_Button	注意事項
Machine_Probability_Caution_Title	注意事項
Machine_Probability_Caution	■關於提供比例的注意事項\n提供內容和提供比例會根據玩家選擇的線團而不同。\n當玩家透過購買下載內容（DLC）等方式而追加了可提供的布偶種類後，各布偶的獲得機率會隨著布偶種類的數量增加而降低。\n此外，顯示比例時會捨去小數點以下的數字，因此所有機率的總和可能會未滿100%。\n※實際的提供比例不會將小數點以下四捨五入、無條件進位，或無條件捨去。\n\n■關於將線團放入布偶機時的注意事項\n玩家擁有「稍好的線團」時，會優先使用「稍好的線團」。
Machine_Probability_Itodama	「{[0105|00cd]}」的提供比例
Machine_Probability_BigComment	※會有25%的機率再次進行抽選以追加提供1個布偶。
Mission\Mission.msbt
Mission_Title	小鎮居民的願望
Mission_Lively	{size[8c00]}{[0101|0600000000cd]}{size[6400]}
Mission_Lively_Slash	 / 
Mission_Lively_Deno	{[0101|0600000000cd]}
Mission_Lively_Next	離下一個等級：{[0101|0600000000cd]}
Mission_Lively_MAX	MAX
Mission_Lively_RankMAX	達到最高等級了！
Mission_Detail_Give	我有適合的布偶！
Mission_Detail_Quit	也許下次再說……
Mission_Detail_NuiSelect	請選擇要送給對方的布偶。
Mission_Detail_NuiSelect_want	想要的布偶
Mission_Achievement_CoMission_0011_1	1個「{[0109]}」尺寸的布偶
Mission_Achievement_CoMission_0011_2	2個「{[0109]}」尺寸的布偶
Mission_Achievement_CoMission_0011_3	3個「{[0109]}」尺寸的布偶
Mission_Achievement_CoMission_0011_4	4個「{[0109]}」尺寸的布偶
Mission_Achievement_CoMission_0021_1	1個用「{[0106]}」製作的\n「{[0109]}」尺寸的布偶
Mission_Achievement_CoMission_0021_2	2個用「{[0106]}」製作的\n「{[0109]}」尺寸的布偶
Mission_Achievement_CoMission_0021_3	3個用「{[0106]}」製作的\n「{[0109]}」尺寸的布偶
Mission_Achievement_CoMission_0021_4	4個用「{[0106]}」製作的\n「{[0109]}」尺寸的布偶
Mission_Achievement_CoMission_0031_1	這些布偶中的任1個：\n{[0107]}\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_CoMission_0031_2	這些布偶中的任2個：\n{[0107]}\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_CoMission_0031_3	這些布偶中的任3個：\n{[0107]}\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_CoMission_0031_4	這些布偶中的任3個：\n{[0107]}\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_CoMission_0041_1	不同的布偶各1個
Mission_Achievement_CoMission_0041_2	「{[0109]}」尺寸的\n不同布偶各1個
Mission_Achievement_CoMission_0041_3	用「{[0106]}」製作的\n不同布偶各1個
Mission_Achievement_CoMission_0041_4	「{[0109]}」尺寸，\n且用「{[0106]}」製作的不同布偶各1個
Mission_Achievement_CoMission_0051_1	2個相同的布偶
Mission_Achievement_CoMission_0051_2	2個「{[0109]}」尺寸的相同布偶
Mission_Achievement_CoMission_0051_3	2個用「{[0106]}」製作的\n相同布偶
Mission_Achievement_CoMission_0051_4	2個「{[0109]}」尺寸，\n且用「{[0106]}」製作的相同布偶
Mission_Achievement_CoMission_0061_1	1個{[0107]}的布偶
Mission_Achievement_CoMission_0061_2	每種布偶各1個：\n{[0107]}\n{[0107]}
Mission_Achievement_CoMission_0061_3	每種布偶各1個：\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_CoMission_0061_4	每種布偶各1個：\n{[0107]}\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0011	1個{[0107]}的布偶
Mission_Achievement_SpMission_0021	3個不同的布偶
Mission_Achievement_SpMission_0022	4個不同的布偶
Mission_Achievement_SpMission_0023	4個「{[0109]}」或「{[0109]}」尺寸，\n且分別不同的布偶
Mission_Achievement_SpMission_0031	1個「{[0109]}」或「{[0109]}」尺寸的布偶
Mission_Achievement_SpMission_0032	1個用「{[0106]}」製作的\n「{[0109]}」或「{[0109]}」尺寸的布偶
Mission_Achievement_SpMission_0033	1個用「{[0106]}」製作的\n「{[0109]}」或「{[0109]}」尺寸的布偶
Mission_Achievement_SpMission_0041	1個用「{[0106]}」製作的布偶
Mission_Achievement_SpMission_0042	這些布偶中的任1個：\n{[0107]}\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0043	每種布偶各1個：\n{[0107]}\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0051	1個{[0107]}的布偶
Mission_Achievement_SpMission_0052	1個{[0107]}的布偶
Mission_Achievement_SpMission_0053	1個{[0107]}的布偶
Mission_Achievement_SpMission_0061	1個「{[0109]}」尺寸的布偶
Mission_Achievement_SpMission_0062	1個用「{[0106]}」製作的\n「{[0109]}」尺寸的布偶
Mission_Achievement_SpMission_0063	1個用「{[0106]}」製作的\n「{[0109]}」尺寸的布偶
Mission_Achievement_SpMission_0071	1個用「{[0106]}」製作的布偶
Mission_Achievement_SpMission_0072	這些布偶中的任1個：\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0073	每種布偶各1個：\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0081	每種布偶各1個：\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0091	每種布偶各1個：\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0101	1個{[0107]}的布偶
Mission_Achievement_SpMission_0102	1個{[0107]}的布偶
Mission_Achievement_SpMission_0111	1個{[0107]}的布偶
Mission_Achievement_SpMission_0121	1個{[0107]}的布偶
Mission_Achievement_SpMission_0131	1個{[0107]}的布偶
Mission_Achievement_SpMission_0132	1個{[0107]}的布偶
Mission_Achievement_SpMission_0133	1個{[0107]}的布偶
Mission_Achievement_SpMission_0141	1個{[0107]}的布偶
Mission_Achievement_SpMission_0142	1個{[0107]}的布偶
Mission_Achievement_SpMission_0143	1個{[0107]}的布偶
Mission_Achievement_SpMission_0151	1個{[0107]}的布偶
Mission_Achievement_SpMission_0161	1個{[0107]}的布偶
Mission_Achievement_SpMission_0162	1個{[0107]}的布偶
Mission_Achievement_SpMission_0171	1個{[0107]}的布偶
Mission_Achievement_SpMission_0172	1個{[0107]}的布偶
Mission_Achievement_SpMission_0173	這些布偶中的任1個：\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0181	1個{[0107]}的布偶
Mission_Achievement_SpMission_0191	這些布偶中的任1個：\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0201	每種布偶各1個：\n{[0107]}\n{[0107]}\n{[0107]}
Mission_NuiPokemon_List_Decide	贈送
Mission_NuiPokemon_List_Rare	其中包含了稀有的布偶，\n確定要送給對方嗎？
Mission_NuiPokemon_List_Rare_Yes	OK
Mission_NuiPokemon_List_Rare_No	返回
Mission_NuiPokemon_List_Error	沒有能夠送出去的布偶。\n用布偶機製作新布偶，或是\n把裝飾著布偶房的布偶收起來吧。
Mission_NuiPokemon_List_Error_OK	OK
Mission_Rewards_01	獲得了「{[0108|00cd]}」\n作為送出布偶成為朋友的紀念！
Mission_Rewards_01_OK	OK
Mission_Rewards_02	友誼點數上升了{[0101|0400000000cd]}！
Mission_Rewards_02_OK	OK
Mission_Lively_Rewards_01	因為友誼等級上升了，\n能蓋在月曆的「圖章」種類也增加了！
Mission_Lively_Rewards_01_OK	OK
Mission_TownLevel_01	一直都很恬靜的\n{size[8e00]}思巧鎮{size[6400]}
Mission_TownLevel_02	有種歡樂氣息的\n{size[8e00]}思巧鎮{size[6400]}
Mission_TownLevel_03	最近小有名氣的\n{size[8e00]}思巧鎮{size[6400]}
Mission_TownLevel_04	現在大受歡迎的\n{size[8e00]}思巧鎮{size[6400]}
Mission_TownLevel_05	充滿最棒笑容的\n{size[8e00]}思巧鎮{size[6400]}
Mission\Quest.msbt
CoMission_0011_Title	尋求特定尺寸
CoMission_0011_Complete_01	這下工作起來更有動力了！\n謝謝你！
CoMission_0011_Request_11	上次真是謝謝你了。\n果然有喜歡的東西包圍著，\n工作起來也更有效率呢！\n可以再拜託你製作這種尺寸的嗎？
CoMission_0011_Request_21	我正在找要放在\n辦公室桌子上的布偶。\n請問你有這種尺寸的嗎？
CoMission_0011_Request_31	下班回到家時，\n如果有布偶在家等著我就太好了。\n可以拜託你製作這種尺寸的布偶嗎？
CoMission_0011_Request_41	最近我的上司好像很累。\n如果能在辦公桌上放個布偶，\n讓他稍微放鬆一下心情就好了。\n你有這種尺寸的布偶嗎？
CoMission_0021_Title	禮物爺爺
CoMission_0021_Complete_01	呵呵！\n這樣一來又能看到\n大家開心的臉了！謝謝啊！
CoMission_0021_Request_11	呵呵！\n我一直在找你呢！\n能不能再請你幫忙啊？
CoMission_0021_Request_21	呵呵！\n一年到頭為鎮上的孩子們\n送上幸福的禮物爺爺，\n就是我本人哩。\n你能不能也幫幫忙啊？
CoMission_0021_Request_31	呵呵！\n在這個鎮上有幾個像我這樣\n送禮物給孩子們的老爺爺。\n你能不能也幫個忙啊？
CoMission_0021_Request_41	呵呵！\n今天也要幫鎮上的孩子們\n帶來笑容囉。\n你能不能也幫個忙啊？
CoMission_0031_Title	寶可夢協尋啟事
CoMission_0031_Complete_01	哇！謝謝！\n看起來就像真的一樣。
CoMission_0031_Request_11	哈囉哈囉，你最近好嗎？\n你看！這次的寶可夢也都很可愛呢。\n我又要拜託你囉！
CoMission_0031_Request_21	哈囉哈囉，你願意看看\n我跟寶可夢們拍的照片嗎？\n我想要把這些孩子的布偶\n放在家裡當裝飾。
CoMission_0031_Request_31	哈囉哈囉，這個影片裡的寶可夢\n真的是太可愛了。\n我想要拿這些孩子的布偶來裝飾，\n你那邊有庫存嗎？
CoMission_0031_Request_41	哈囉哈囉，你看看這張照片～\n寶可夢們居然來跟我靠得這麼近呢！\n真想當作回憶裝飾起來。
CoMission_0041_Title	就是要不一樣！
CoMission_0041_Complete_01	謝謝！\n兩個布偶都好可愛、好棒喔！\n哥哥你想要哪一個？
CoMission_0041_Request_11	上次謝謝你！\n我們想要彼此不一樣的布偶，\n可以拜託你嗎？
CoMission_0041_Request_21	我們都想要布偶，\n可是就是不喜歡兩個人一樣的。
CoMission_0041_Request_31	這次學校的作業是要畫寶可夢喔。\n我們想用布偶來當模特兒，\n可是又想畫出不一樣的寶可夢……
CoMission_0041_Request_41	我們想在媽媽生日的時候\n送布偶給她當作禮物。\n我們想送不一樣的，\n可以請你幫忙嗎？
CoMission_0051_Title	就是要一樣！
CoMission_0051_Complete_01	謝謝！這一模一樣的布偶\n真是太適合我們了！好開心喔！
CoMission_0051_Request_11	啊！上次真是謝謝你！\n我們最喜歡你的布偶了！\n可以再麻煩你嗎？
CoMission_0051_Request_21	我們想要一模一樣的布偶！\n有沒有適合我們的呢？
CoMission_0051_Request_31	雖然我們愛吃的東西不同，\n但是喜歡的寶可夢是一樣的喔。\n所以才會想要有同樣的布偶。
CoMission_0051_Request_41	如果我們收到不同的布偶，\n最後就會吵了起來，\n所以還是一樣的布偶最好了。
CoMission_0061_Title	無法取代的寶可夢
CoMission_0061_Complete_01	你真的幫了我一個大忙！\n下次還有什麼事的話，\n可以再拜託你嗎？
CoMission_0061_Request_11	前陣子真是謝謝你啊。\n我這次偷偷查了一下\n乖孫喜歡的寶可夢。\n幫我看看有沒有庫存，好嗎？
CoMission_0061_Request_21	我乖孫說他就是要\n這個寶可夢的布偶。\n但我啊，可不太懂這些呢……
CoMission_0061_Request_31	我夢到了好～久好久以前\n遇見的寶可夢呢。\n總覺得好懷念，真想再見一面。\n這就是我說的寶可夢，你認得嗎？
CoMission_0061_Request_41	你知道這隻寶可夢嗎？\n我乖孫可是寶貝牠寶貝得不得了。\n讓我看著也覺得挺可愛的，\n自己也想要一隻了呢。
SpMission_0011_Title	正在煩惱的女孩
SpMission_0011_Request_01	怎麼辦……
SpMission_0011_Request_02	最寶貝的皮卡丘布偶，\n被我弄丟了……
SpMission_0011_Complete_01	……是皮卡丘耶！！
SpMission_0011_Complete_02	謝謝你！！\n我會連之前那孩子的份\n也一起好好珍惜它的！
SpMission_0021_Title	第一次的演奏會
SpMission_0021_Request_01	我對於演奏樂器是\n很有信心的喔。
SpMission_0021_Request_02	但要在大家面前演奏，還是第一次……\n你知道有什麼好的練習方法嗎？
SpMission_0021_Complete_01	把這些布偶當作聽眾來練習……？\n知道了！我會試試看的！
SpMission_0022_Title	迎接在大舞台的演奏
SpMission_0022_Request_01	我上次的演奏\n得到的評價很不錯喔。\n這一點都不意外，因為我有練習嘛……
SpMission_0022_Request_02	聽說下次表演會有更多聽眾。\n我才不是在緊張喔！\n只要有布偶們在，我就沒問題的。
SpMission_0022_Complete_01	是新的布偶！\n嗯，我也會讓這些布偶\n聽聽我的演奏的。
SpMission_0023_Title	期待有完美的演奏
SpMission_0023_Request_01	下次我會在很大的演奏廳表演，\n所以會有很多大人來聽呢。\n這次我有一點緊張了。
SpMission_0023_Request_02	我說……這次也可以請你\n幫我製作布偶嗎？
SpMission_0023_Complete_01	謝謝！還有，\n這次請你也來當我的聽眾好不好？\n我會讓你聽到一場完美的演奏的。
SpMission_0031_Title	水手的好夥伴
SpMission_0031_Request_01	嘿呦！你知道嗎？\n這個鎮的水手出海時，\n都會帶上布偶當搭檔咧！\n就像是護身符啦。
SpMission_0031_Request_02	我也又要出海啦，\n但想想也該讓一直陪著我的搭檔休息了……\n所以我正在找新的搭檔。
SpMission_0031_Complete_01	這個好！\n感覺就很可靠，讚啦。\n請多指教嘿，我的新搭檔！
SpMission_0032_Title	水手啟航
SpMission_0032_Request_01	嘿呦！你聽我說，\n我兒子再過幾天就要第一次出海啦。\n終於啊！
SpMission_0032_Request_02	所以咧，我想幫他找個\n又大又耐水的搭檔……\n能不能拜託你啊？
SpMission_0032_Complete_01	這個好！\n這下我能幫要啟航的兒子慶祝啦。\n相信他會成為一個優秀的水手的。
SpMission_0033_Title	水手的航程
SpMission_0033_Request_01	嘿呦！你能不能聽我說？\n我這次的航程看樣子會有點兒久，\n又有點兒危險呢。
SpMission_0033_Request_02	我是沒有在怕啦，\n只是覺得要是還有個不怕大風大浪，\n長得又強又大的搭檔就好了……\n能拜託你幫個忙嗎？
SpMission_0033_Complete_01	這個超讚的啦！！\n這下再長的旅程都能放心囉！\n當然，我也會把之前的搭檔都一起帶去的。
SpMission_0041_Title	滾滾熱情
SpMission_0041_Request_01	嘿！\n你是不是燃燒著\n滾滾的熱情啊？
SpMission_0041_Request_02	我正在尋找夥伴！這傢伙要能\n滿足我這顆像熊熊烈火般燃燒的心。\n如何？一起來場熱滾滾的訓練吧！
SpMission_0041_Complete_01	哦哦！這真是夠火熱！\n這麼一來，我隨時隨地都有個伴\n能來場熱滾滾的訓練啦！
SpMission_0042_Title	熱滾滾的夥伴們
SpMission_0042_Request_01	嘿！\n今天的你也一樣燃燒著\n滾滾的熱情嗎？
SpMission_0042_Request_02	那之後，我對熱滾滾的寶可夢\n做了不少調查喔。\n我想如果能有更多夥伴的話，\n訓練起來也會更加熱滾滾！
SpMission_0042_Complete_01	哦哦！這真是有夠熱滾滾！\n我的訓練會更順利啦！\n好，現在就來耐力跑吧！
SpMission_0043_Title	更加熱滾滾
SpMission_0043_Request_01	嘿！\n今天的你也一樣燃燒著\n加倍熱滾滾的熱情嗎？\n我當然也……
SpMission_0043_Request_02	……雖然我很想說我也是，\n但其實最近我有點缺乏熱度。\n我想要被更多的夥伴包圍，\n讓自己變得更加、更加熱滾滾……
SpMission_0043_Complete_01	哦哦！這真是火熱得滾滾沸騰啊！\n心中的火焰開始熊熊燃燒！\n我的熱情已經停不下來了！\n滾～～滾地燒起來啦！！
SpMission_0051_Title	愛伊布的紳士過日常
SpMission_0051_Request_01	我啊，真的好喜歡伊布，\n喜歡得不得了。
SpMission_0051_Request_02	那顏色，那質感……\n要是能有隻伊布待在我身旁，\n不知道會讓我多滿足啊。
SpMission_0051_Complete_01	謝謝你把這隻伊布讓給我。\n看看這顏色！這質感！\n這正是我夢寐以求的。
SpMission_0052_Title	愛伊布的紳士挑禮物
SpMission_0052_Request_01	伊布有著各式各樣的\n進化後的樣子喔。\n我想每個人都一定會有\n適合自己的伊布。
SpMission_0052_Request_02	所以呢，朋友下個月生日，\n我想送個冰伊布當禮物。\n相信那一定會很適合他。
SpMission_0052_Complete_01	這漂亮的光澤……！\n你做出的成品依然是這麼美。\n我都要捨不得送給朋友了呢。
SpMission_0053_Title	愛伊布的紳士談夢想
SpMission_0053_Request_01	你知道仙子伊布嗎？\n環繞著牠全身的觸角就像緞帶一樣，\n那優雅的外型真是太讓我著迷了。
SpMission_0053_Request_02	不過，我還沒看過\n能夠重現牠那美貌的布偶呢。\n我相信你應該可以辦到，\n你覺得如何？
SpMission_0053_Complete_01	啊啊……\n這精緻優美的體態！\n我現在內心充滿了感動。\n真是謝謝你！
SpMission_0061_Title	小巧可愛！
SpMission_0061_Request_01	哈囉～！\n我包包上的\n這孩子很可愛吧！？
SpMission_0061_Request_02	小巧可愛的布偶\n真的超棒的！\n我還想要收集更多更多～
SpMission_0061_Complete_01	哎，超可愛的啦！\n我馬上就把它掛在包包上囉！\n謝啦～！
SpMission_0062_Title	小巧神奇！
SpMission_0062_Request_01	哈囉～！\n我最近也會收集\n其他的可愛布偶了喔～
SpMission_0062_Request_02	像是一些小巧神奇的布偶，\n真的讓人愛死了～！
SpMission_0062_Complete_01	好可愛～！\n這種軟綿綿的感覺，\n你很懂嘛！
SpMission_0063_Title	小小的龍！？
SpMission_0063_Request_01	哈囉～！\n你聽我說，\n我終於找到了我的最佳搭檔了！
SpMission_0063_Request_02	這種明明小巧可愛，\n卻又很強的龍，\n是不是讓人心動到不行！？
SpMission_0063_Complete_01	你果然是個天才耶！\n我也打算要像這孩子一樣，\n變得超級無敵可愛！
SpMission_0071_Title	森林的寶可夢
SpMission_0071_Request_01	你好。\n我聽說不管什麼布偶\n你都會做，這是真的嗎？
SpMission_0071_Request_02	我最喜歡能在森林裡\n一起感受大自然的寶可夢了。
SpMission_0071_Complete_01	你幫我做的？謝謝！\n我能夠從它身上感受到\n森林的氣息和生機呢……！
SpMission_0072_Title	想在森林中相遇
SpMission_0072_Request_01	每種寶可夢都生活在\n適合自己的環境中，\n這個鎮上的森林裡\n也住著各式各樣的寶可夢喔。
SpMission_0072_Request_02	雖然很希望能夠見上牠們一面，\n但事情可沒那麼容易。\n要怎麼做才能吸引牠們靠近我呢。
SpMission_0072_Complete_01	對耶！\n如果帶著這個布偶，\n或許寶可夢就會把我當成夥伴，\n主動靠過來了！
SpMission_0073_Title	想被森林夥伴圍繞
SpMission_0073_Request_01	對了對了，\n我終於在這座森林裡看到\n我一直很想遇到的寶可夢囉！\n這都是布偶的功勞呢！
SpMission_0073_Request_02	該怎麼做才能跟牠們\n感情變得更好、更好呢？\n如果能大家一起玩耍，\n那就太棒了！
SpMission_0073_Complete_01	哇啊！好厲害……！\n這下子，我的夢想應該就能實現了！\n謝謝你！
SpMission_0081_Title	喵！喵！喵！
SpMission_0081_Request_01	你啊你啊～\n身上好像有一種像太陽，\n又像毛線的香香味道呢～
SpMission_0081_Request_02	像今天這樣的好天氣，\n是不是會想在公園裡和貓寶可夢\n窩著一圈，睡個午覺呢～
SpMission_0081_Complete_01	果然貓寶可夢\n就是這麼美好呢～\n現在就大家一起來睡午覺吧～
SpMission_0091_Title	滿滿的米立龍
SpMission_0091_Request_01	今天也是個釣魚的好日子呢！\n這片海有滿滿的營養，\n可以釣到各種東西喔！
SpMission_0091_Request_02	話說，你知道米立龍嗎？\n牠雖然有各種不同的樣子，\n不過聽說是相當聰明，\n所以幾乎是沒辦法遇見牠呢。
SpMission_0091_Complete_01	每一個都好可愛！\n如果我遇到了真的，就會跟你說喔！
SpMission_0101_Title	我的風格
SpMission_0101_Request_01	做料理這件事，\n雖然材料和技術也很重要，\n但真正少不了的就是風格！\n而我的風格就是\n對任何事都要勇敢不斷地挑戰！
SpMission_0101_Request_02	這樣的我所深愛的寶可夢，\n就是土狼犬啦。\n不過不能帶牠去店裡，\n讓我有一點點寂寞呢。
SpMission_0101_Complete_01	太完美啦！\n這下子我對料理的幹勁\n也會更加提升了！
SpMission_0102_Title	風格升級
SpMission_0102_Request_01	多虧有你給我的土狼犬，\n我們店的人氣\n可是不斷地在往上衝喔！
SpMission_0102_Request_02	我想說順著這股氣勢，\n為店內添加些自由豪邁的風格。\n你覺得我該裝飾什麼樣的布偶好呢？
SpMission_0102_Complete_01	烈空坐！太完美啦！\n完全展現了我們店\n順著氣勢衝向顛峰的風格。\n超配的啦。
SpMission_0111_Title	解不開的謎團
SpMission_0111_Request_01	我在這個鎮上當偵探\n已經好多年了呢……\n不過有個謎團\n就連我也還沒能解開。
SpMission_0111_Request_02	不是有種寶可夢叫謎擬Q嗎……？\n在那破布裡頭到底是什麼樣子，\n我再怎麼樣都想知道。\n就算是布偶也可以，\n總有辦法知道吧。
SpMission_0111_Complete_01	太厲害了！\n這是解開謎團的第一步呢！\n我這就趕回事務所開始調查。
SpMission_0121_Title	甜點控的天堂
SpMission_0121_Request_01	嗨，你也要吃蛋糕嗎？\n我超愛甜甜的東西，\n正在一家家地拜訪\n街上的蛋糕店呢。
SpMission_0121_Request_02	我拜訪店家時還會拍照，\n所以想要有個能跟蛋糕一起入鏡，\n而且長得甜甜的朋友。
SpMission_0121_Complete_01	真的長得好甜、好迷人耶！\n這就是我最棒的朋友了！
SpMission_0131_Title	叢林中的相遇
SpMission_0131_Request_01	唔唔！你願意聽一聽\n我的觀察報告嗎？\n前不久，我在森林裡遇到了\n迷路的百足蜈蚣。
SpMission_0131_Request_02	很可惜牠就這麼跑掉了，\n但那特別的形狀，\n真讓我想再次觀察一番呢。
SpMission_0131_Complete_01	天、天啊！\n這可是個和本尊\n一模一樣的百足蜈蚣啊！\n我得趕緊來觀察才行！
SpMission_0132_Title	沙漠中的相遇
SpMission_0132_Request_01	前不久我竟然在沙漠裡親眼看到\n穿山鼠把身體蜷成了團的模樣。\n牠那靠著滾動來移動的生態，\n真是太有意思了。
SpMission_0132_Request_02	嗯……但是，\n我覺得能再遇到牠的機率並不高……
SpMission_0132_Complete_01	這、這圓滾滾的身形！\n這簡直就是如假包換的穿山鼠啊！
SpMission_0133_Title	阿羅拉地區的相遇
SpMission_0133_Request_01	太驚人啦！\n阿羅拉地區的穿山鼠居然是白色的！\n在不同的地方竟然會有不同的樣子，\n真是太不可思議了……
SpMission_0133_Request_02	一想到得要等下次去阿羅拉地區探險，\n我才能再觀察到牠的模樣，\n就覺得心好痛啊……
SpMission_0133_Complete_01	沒、沒有錯！\n牠就是長這個樣子。\n太厲害了～！！
SpMission_0141_Title	想要當個小小保姆
SpMission_0141_Request_01	欸欸，你知道噴嚏熊嗎？
SpMission_0141_Request_02	牠總是流著鼻涕，\n看起來好像很冷的樣子……\n我好想好好照顧牠喔。
SpMission_0141_Complete_01	唉呀！果然是好大一沱鼻涕！\n必須早點帶它回家才行！\n我會努力照顧它的。
SpMission_0142_Title	心窩暖暖的好朋友
SpMission_0142_Request_01	欸欸，上次謝謝你！\n我有很努力在照顧噴嚏熊喔！
SpMission_0142_Request_02	雖然房間暖暖的，\n但噴嚏熊好像還是很冷，\n所以我想要送它一個軟綿綿的，\n而且還可以當成床的朋友……
SpMission_0142_Complete_01	好軟好～軟喔！\n有這個孩子在一起的話，\n噴嚏熊應該也能睡得熟熟的，\n然後很快就變好了！
SpMission_0143_Title	守護同伴的好朋友
SpMission_0143_Request_01	欸欸，跟你說唷，\n噴嚏熊越來越有精神了喔！
SpMission_0143_Request_02	不過我還是會擔心，\n所以這次想送噴嚏熊一個\n能保護它的強壯朋友……
SpMission_0143_Complete_01	它看起來又強壯又溫柔！\n這樣一來，\n噴嚏熊也會感到安心了！
SpMission_0151_Title	感恩的心
SpMission_0151_Request_01	我正在環遊世界各地進行研究，\n希望能連結寶可夢、人類以及這個世界。\n你願意聽聽我的願望嗎？
SpMission_0151_Request_02	有一種幻之寶可夢\n有著將荒蕪的大地變成花海的力量，\n當感受到感謝之心身上花朵就會綻放……\n聽說牠的名字叫做謝米。\n就算只有一次也好，我想親眼見到牠。
SpMission_0151_Complete_01	這就是幻之寶可夢謝米！\n多麼溫暖又祥和的身形啊……！\n光是能見到牠的模樣，\n我就很開心了，謝謝你。
SpMission_0161_Title	只想呼呼大睡
SpMission_0161_Request_01	你好……\n我最近都睡不好……
SpMission_0161_Request_02	你知道有什麼布偶可以讓我\n用全身緊緊抱住嗎……？
SpMission_0161_Complete_01	這還……真不錯……\n抱起來也很紮實，\n看來我可以做個好夢了……
SpMission_0162_Title	數咩利羊入夢鄉
SpMission_0162_Request_01	你好……\n上次的布偶，超棒的……
SpMission_0162_Request_02	不過，我還是要花點時間才能睡著……\n聽說只要數咩利羊的布偶\n就能安穩地入睡……\n你可以送給我嗎……？
SpMission_0162_Complete_01	這還……真不錯……\n摸起來的感覺也棒透了……\n看來不用數羊也能入睡了……
SpMission_0171_Title	追風騎士的搭檔
SpMission_0171_Request_01	我正在騎摩托車\n四處旅行的路上。\n這個小鎮好棒啊。
