CHAPTER/chapter01_ev
C01_EV1000_00010_ENZO	老婆……\n艾德……！艾德娜……
ECOM_EV0020_00100_ENZO	唔喔——哇、喂！你突然幹什麼！
ECOM_EV0020_00120_BAYO	那可真是抱歉。
ECOM_EV0020_00130_BAYO	不過，這可是你自己答應的哦？\n只要解決麻煩的工作，我說什麼你都會照辦。
ECOM_EV0020_00140_ENZO	即便如此也是有限度的……
ECOM_EV0020_00150_BAYO	好了，開車吧。
ECOM_EV0020_00160_ENZO	你還要帶我繼續亂跑！？
ECOM_EV0020_00170_ENZO	你也不看看我從一大早就開了多久的車。
ECOM_EV0020_00180_ENZO	可惡，現在連這輛破車都對我發脾氣！
ECOM_EV0020_00190_ENZO	喂，你不要亂來喔！這可是昨天剛到的新車——
ECOM_EV0020_00200_BAYO	好，開車上路吧。
ECOM_EV0020_00210_RODN	真不寧靜……
ECOM_EV0020_00220_ENZO	可惡！連比賽也爛成這樣！
ECOM_EV0020_00230_ENZO	而且你不是說要去跟人見面嗎？\n現在是怎樣？
ECOM_EV0020_00240_ENZO	又買東西……又去公園……現在又說要去看海？！
ECOM_EV0020_00250_ENZO	哼哼，我看你是忘記約在哪裡了吧？
ECOM_EV0020_00260_ENZO	什……嗚哇啊啊啊！！
ECOM_EV0020_00270_ENZO	突、突然幹什麼！？
ECOM_EV0020_00280_ENZO	喂——喂喂？
ECOM_EV0020_00290_GIRL	拜託，趁一切還能挽回之前……借給我力量！
ECOM_EV0020_00300_ENZO	喂，你搞什麼？\n該不會要說「其實是約在明天」吧？
ECOM_EV0020_00310_BAYO	不，我們就是約好今天在這裡碰面。
ECOM_EV0020_00320_ENZO	什麼鬼？
ECOM_EV0020_00330_BAYO	恩佐，你在這裡好好等著。
ECOM_EV0020_00340_BAYO	聽好囉？要在「這裡」等著，一步都不可以動。
ECOM_EV0020_00350_ENZO	連「一步」都不行？\n搞、搞什麼啊……？
ECOM_EV0020_00360_ENZO	喂、喂！\n你叫我在這裡等，那我要等多久？喂——！
ECOM_EV0020_00400_ENZO	真是……明知跟那女人扯上關係就沒好事，\n為什麼我老是動不動就被抓到把柄！
ECOM_EV0020_00410_ENZO	嗯？
ECOM_EV0020_00420_ENZO	要下雨了嗎？天色什麼時候變得這麼陰暗？
ECOM_EV0020_00430_ENZO	那是什麼東西？
ECOM_EV0020_00440_ENZO	喂、喂，天上突然發光，肯定會出大事啊！？
ECOM_EV0020_ACT010_ENZO	等一……！？
ECOM_EV0020_00450_ENZO	女……女人？
ECOM_EV0020_00460_ENZO	怎麼會？到底從哪裡掉下來的？
ECOM_EV0020_00470_ENZO	我好像……在哪裡見過這張臉？
ECOM_EV0020_00480_ENZO	嗚喔！喂！？
ECOM_EV0020_00490_GIRL	拜託……帶我去……找……
ECOM_EV0020_00500_ENZO	你、你突然說什麼！？我可沒空……
ECOM_EV0020_00510_ENZO	要、要去哪裡……！？
ECOM_EV0020_00520_GIRL	蓓優……妮塔……
ECOM_EV0020_00530_ENZO	怎麼每個人都這樣……我又不是計程車。
ECOM_EV0020_ACT020_NPCM	那是怎樣？！
ECOM_EV0020_00540_ENZO	幹、幹什麼！你問這個女人？
ECOM_EV0020_00550_ENZO	她突然從天上掉下來。\n我什麼都不知道，跟我一點關係都沒有……！
ECOM_EV0020_00560_ENZO	什、什麼？
ECOM_EV0020_00570_ENZO	那女人該不會又闖禍了吧？
ECOM_EV0020_00580_ENZO	啊啊啊啊！？
ECOM_EV0020_00590_ENZO	你對我剛買的新車做了什麼！？
ECOM_EV0020_00600_ENZO	渾蛋……你到底有什麼毛病！？
ECOM_EV0020_00610_ENZO	渾帳東西，這樣我怎麼開車！
ECOM_EV0020_00620_ENZO	搞什麼，喂……開玩笑的吧！！
ECOM_EV0020_00630_ENZO	饒、饒了我吧！\n老婆跟小孩們都在等我回家！
ECOM_EV0020_00640_ENZO	羅丹……？
ECOM_EV0020_00650_RODN	快逃。\n你在還完債之前可不能死。
ECOM_EV0020_00710_RODN	沒看過你啊。
ECOM_EV0020_00720_RODN	你是什麼人？
ECOM_EV0020_00730_RODN	這是……
ECOM_EV0020_00740_BAYO	我訂的東西做好了嗎？
ECOM_EV0020_00750_RODN	已經放在車上了……等我一下。
ECOM_EV0020_00760_BAYO	我還滿喜歡這座城市的。\n要開低級的派對，麻煩去別的地方開！
ECOM_EV0030_00005_BAYO	所以我討厭便宜貨……
ECOM_EV0030_00010_RODN	看來挺棘手的。
ECOM_EV0030_00020_BAYO	還很難說……在我失去耐性前把訂做的東西給我。
ECOM_EV0030_00025_RODN	拿去！
ECOM_EV0030_00030_RODN	漂亮。
ECOM_EV0030_00040_RODN	不過，會這麼順利嗎？\n這次的客人跟之前比起來好像不太一樣。
ECOM_EV0030_00050_BAYO	都是新面孔呢。\n那就讓你們看看我拿手的面具舞蹈吧。
ECOM_EV0035_00005_BAYO	那是……？
ECOM_EV0035_00010_BAYO	凡事可不是越大越好。
ECOM_EV0040_00020_RODN	對方不是天界來的，\n不合魔界那些傢伙的胃口。
ECOM_EV0040_00030_RODN	你要怎麼辦，蓓優妮塔？
ECOM_EV0040_00040_RODN	不過真沒料到這些傢伙亂來到這種地步。
ECOM_EV0040_00050_RODN	哦……是古代魔導術「惡魔奴隸」啊。
ECOM_EV0040_00060_RODN	沒想到現在還有人能使用這種魔導術。
ECOM_EV0050_00010_BAYO	這些傢伙到底是……
ECOM_EV0050_00020_BAYO	貞德！！
ECOM_EV0050_00030_JANN	有話等等再說。
ECOM_EV0050_00035_JANN	要上囉！
ECOM_EV0060_00005_BAYO	貞德！！
ECOM_EV0060_00010_BAYO	貞德！！
ECOM_EV0060_00020_BAYO	終於露臉了，這個小害羞鬼。\n告訴我你的飼主在哪？
ECOM_EV0070_00005_BAYO	貞德！
ECOM_EV0070_00010_BAYO	你竟然會救我們，吃錯藥了嗎！？
ECOM_EV0070_00020_RODN	我有話跟你說。
ECOM_EV0070_00030_RODN	在這裡不方便，我們去安靜一點的地方。
ECOM_EV2000_00010_JANN	沒想到被敵人搶先一步。\n可以的話，想盡量避免戰鬥……
ECOM_EV2000_00020_JANN	多虧了這些傢伙從正面襲擊，\n現在屋頂的戒備很鬆懈。
ECOM_EV2010_00010_JANN	竟然阻斷了與魔界的聯繫……\n這究竟是什麼設施？
ECOM_EV2010_00020_JANN	算了。\n對上這種傢伙，我一個人就夠了！
ECOM_EV4010_00010_JANN	博士……非常榮幸能見到你。
ECOM_EV5000_00010_DOCT	你是什麼人……？
ECOM_EV5000_00020_JANN	你認識一名叫做薇歐拉的少女嗎？\n是她叫我來的。
ECOM_EV5000_00030_DOCT	我不認識……\n不過，我能猜想到你來找我的目的。
ECOM_EV5000_00040_DOCT	你想知道去阿爾法宇宙的方法吧。
ECOM_EV5000_00050_JANN	沒錯，那我就不用多做解釋了。
ECOM_EV5000_00060_DOCT	我的同胞，我一直在等待你來。\n隨你怎麼利用我都行。
ECOM_EV5000_00070_DOCT	條件是……
ECOM_EV5000_00080_JANN	條件？
ECOM_EV5000_00090_DOCT	希望你能偶爾陪我聊聊天。
ECOM_EV5000_00100_JANN	只要你不嫌棄我，那不過是小事一樁。\n看來在漫長的旅途中，我們都不會無聊。
ECOM_EV5000_00110_DOCT	那麼，就趕緊來準備吧。\n跟我來。
ECOM_EV5000_00120_JANN	要用這個嗎……不過……
ECOM_EV5000_00130_DOCT	我們出發吧。\n這肯定會是一趟愉快的旅行。
ECOM_EV5000_00140_JANN	我要催滿油門出發了！
ECOM_EV5010_00010_JANN	我們走吧。這個搭起來應該比較舒服。
ECOM_EV7000_00010_ENZO	痛死我啦，你這傢伙在看哪裡？\n給我小心點啊！真是的！
ECOM_EV7000_00020_ENZO	啊……原來是你。\n真是拿你沒辦法……
ECOM_EV7000_00030_ENZO	不對！
ECOM_EV7000_00040_ENZO	你是不是前陣子又隨便處理工作了？\n害我的腦袋差點——
ECOM_EV7000_00045_ENZO	整顆飛了！！
ECOM_EV7000_00050_ENZO	真是的，你——
ECOM_EV7000_00060_ENZO	不，沒什麼，只是一點小事。
ECOM_EV7000_00070_ENZO	我知道，長棍麵包對吧？\n我會記得買回家。
ECOM_EV7000_00080_ENZO	我不會繞遠路摸魚啦！一定會把剛出爐的\n熱呼呼麵包直接送到家！等著吧。
ECOM_EV7000_00090_RODN	又翹課了？
ECOM_EV7000_00100_RODN	你一直在這裡鬼混，\n會被你老爸碎碎念的可是我。
ECOM_EV7000_00110_GIRL	今天學校放假……是、是真的！
ECOM_EV7000_00120_GIRL	別說那些了，沒有什麼工作可以派給我嗎？\n能爽快發洩的好工作！
ECOM_EV7000_00130_RODN	修理屋頂漏水、解體卡車、尋找失蹤小貓……
ECOM_EV7000_00140_RODN	還是要去廢棄屋驅除幽靈……
ECOM_EV7000_00150_GIRL	就這個！\n那我出發啦～！
ECOM_EV7000_00155_GIRL	小柴貓！
ECOM_EV7000_00160_RODN	薇歐拉……剛剛的就從你的報酬裡扣，\n還有那傢伙的飼料費也是。
ECOM_EV7000_00170_RODN	啊，對了……工作的時候不該這麼稱呼你。
ECOM_EV7000_00180_RODN	記得遵守門禁。
ECOM_EV7000_00185_RODN	蓓優妮塔。
ECOM_EV7000_00190_GIRL	OK！\nLet's dance, baby !
CHAPTER/common
COMN_CROW01_00020_BAYO	真是一場盡興的賽跑。
COMN_CROW02_00030_BAYO	受不了，令人費心的孩子。
COMN_CROW01_00120_GIRL	剛剛還真是難分輸贏！
COMN_CROW02_00130_GIRL	嘖，花了我一番功夫。
COMN_CAT01_00020_BAYO	看來這可愛的孩子很喜歡我。
COMN_CAT02_00030_BAYO	喂，別慌，冷靜點。
COMN_CAT02_00120_GIRL	可愛的小傢伙，給我安分點！
COMN_CAT03_00130_GIRL	魔女跟黑貓果然是最佳搭檔。
COMN_FROG01_00020_BAYO	原來你在這裡唱歌。
COMN_FROG03_00040_BAYO	哎呀呀，看你到處跳來跳去，\n似乎很開心呢。
COMN_FROG02_00120_GIRL	別再唱了，跟我一起走吧。
COMN_FROG03_00130_GIRL	你這傢伙，居然濕答答的。
COMN_CLOCK01_00010_BAYO	來，讓我看看你真正的模樣！
COMN_RT0010_00090_NARR	雖然父親說的話很難懂，\n卻深深地感動了年幼的我。
COMN_RT0010_00100_NARR	每當想起他說的話，\n我都會抬頭仰望天空想像。
COMN_RT0010_00110_NARR	說不定……某處的另一個我，\n也跟我一樣正在撥開草叢向前走？
COMN_RT0010_00120_NARR	她會不會跟我沿著同樣的軌跡，\n陪我踏上同樣的旅程？
COMN_RT0010_00130_NARR	那些白日夢對年幼的我來說，\n比任何動畫或科幻小說都更有吸引力。
COMN_RT0010_00140_NARR	即便如今我長大成人，\n心中也仍然相信著……
COMN_RT0010_00150_NARR	總有一天，來自其他世界的父親\n會出現在我面前——
COMN_RT0010_00160_NARR	而且他肯定會跟以前一樣，\n突然從手裡變出草莓糖果給我……
COMN_RT0010_00170_NARR	但是……從遙遠的世界\n來到我們面前的是——
COMN_RT0010_00180_NARR	打碎所有希望，\n彷彿惡夢般的侵略者。
COMN_PR0010_00010_JANN	這是……魔族眷屬！？
COMN_PR0010_00020_JANN	而且是被召喚出來的……！？
COMN_PR0010_00030_JANN	除了我們之外，還有誰能……！
COMN_PR0010_00040_BAYO	看來得問問那些橫衝直撞的新面孔了。
COMN_SP1010_00010_JANN	它們的勢力已經入侵到這裡了……
COMN_SP1010_00020_JANN	但從這個設施的裝備來看……我要找的男人，\n肯定早就預料到會有赫姆庫魯斯來襲。
COMN_SP1020_00010_JANN	只能祈禱那位西格魯茲博士能平安無事了。
COMN_SP2010_00010_NARR	難道那男人是我們的救世主？
COMN_SP2010_00020_NARR	我不是那個意思……\n不，或許這麼說也沒錯。
COMN_SP2010_00030_NARR	在我們的世界裡，對平行世界的研究發展快速，\n所以很早就知道其他世界實際存在。
COMN_SP2010_00040_NARR	我們也確立了世界間的交流方式，\n成功跟這個世界的極機密機構聯繫——
COMN_SP2010_00050_NARR	機構的負責人就是西格魯茲博士，\n我們一起發現了「混沌的齒輪」。
COMN_SP2010_00060_NARR	有了他的協助，我們才能使用「混沌的齒輪」\n入侵阿爾法宇宙。
COMN_SP2010_00065_NARR	所以……
COMN_SP2010_00070_NARR	這就是你來到這世界的原因吧。
COMN_SP2010_00080_NARR	不過，具體來說他要如何協助我們？
COMN_SP2010_00090_NARR	為什麼你這麼信賴他？
COMN_SP2010_00100_NARR	因為他是辛裘拉利提的……
COMN_SP3010_00010_JANN	他肯定……就在前面。\n希望我還來得及。
COMN_SP4010_00010_JANN	果然來了。
COMN_SP4010_00020_DOCT	這條路能通往外面。出口有道隔牆，\n只要能及時逃到那裡……
COMN_SP4020_00010_JANN	真是糾纏不休。\n看來你對它們而言也意義非凡。
COMN_SP4020_00020_DOCT	正因為如此，我才會藏身在那裡。\n不能這麼輕易就被它們抓住……
COMN_SP4020_00030_DOCT	對了！\n雖然有點捨不得，但就把這個基地送給它們吧。
COMN_SP4020_00040_DOCT	還要附贈一發超大的煙火。
COMN_SP4025_00010_DOCT	準備好了嗎？
COMN_SP4025_00020_JANN	我不排斥華麗盛大的節目效果。\n你隨時都可以開始。
COMN_SP4025_00030_DOCT	那麼，我要啟動了。
COMN_SP4030_00010_DOCT	哦，看來它們對這發煙火不太滿意。
COMN_SP4030_00020_JANN	那我就用暗影的風格來滿足它們！
COMN_SP4040_00010_JANN	就是要轟轟烈烈地收尾才像話！
COMN_SP4110_00010_DOCT	這位勇敢的小姐，請問怎麼稱呼？
COMN_SP4110_00020_JANN	叫我貞德就好。
COMN_SP4110_00030_DOCT	很高興認識你，貞德。
COMN_SP4110_00040_DOCT	那麼，我們接下來要怎麼辦？
COMN_SP4110_00050_JANN	我有位朋友想介紹給博士認識，\n所以才到這裡來迎接你。
COMN_TA0610_00010_BET0	怎麼啦？\n看來你連我的戰敗都確定不了。
COMN_TA0620_00010_BET0	還早呢……我才不會……讓你確定。
COMN_TA0630_00010_BET0	我會搶先……\n用我的真相……來確定現象。
COMN_TA1200_00010_FSOL	怎麼會……\n法國要完了嗎……
COMN_TA1300_00010_FSOL	怎麼能就這樣放棄。\n剩下的人，跟我走！！
COMN_TA1400_00010_FSOL	警戒好上空，敵人隨時都可能襲擊。
COMN_TA1300_00020_FSOL	別分散太開！守好四周！\n要是被那玩意附身就死定了！
COMN_TA9000_00010_RODN	呵呵呵……
COMN_TA9000_00030_RODN	有多久沒和你認真比劃了呢……\n我可是日夜期盼著這一天再度到來啊。
COMN_TA9000_00040_RODN	無論誰輸誰贏都不准有怨言。\n讓我們盡情廝殺吧！
COMN_TA9100_00010_RODN	唔呃……呼、呼、呼……
COMN_TA9100_00020_RODN	你還挺有兩把刷子嘛……！
COMN_TA9100_00030_RODN	既然被打得這麼狼狽，我也無從辯解了。
COMN_TA9100_00040_RODN	我好歹也是惡魔，會乾脆認輸的……\n這一次是我輸了！
COMN_TA9900_00010_NARR	哇，在這裡自主練習，你還真有心啊！
COMN_TA9900_00020_NARR	這邊全都可以自由使用，\n不過你這個人一點也不懂得拿捏分寸……
COMN_TA9900_00030_NARR	總之可別把我的店給砸了喔！
UI/core_name_link
COP_NAME_IT_R_024	超級換裝鏡0
UI/core_name
COP_BOOK_NAME_01	萬華解體新書
COP_BOOK_NAME_02	魔界獸記
COP_BOOK_NAME_03	拉古那階級論
COP_BOOK_NAME_04	偽典 所羅門的小鑰匙
COP_BOOK_NAME_05	拾取物圖錄
COP_BOOK_NAME_06	筆記
COP_BOOK_NAME_07	登場人物回憶錄
COP_BOOK_NAME_10	魔女解體新書 第三版
COP_BOOK_NAME_11	魔導術大全
CORE_HOMUN_NAME_01	史特拉圖斯
CORE_HOMUN_NAME_02	聶布羅素斯
CORE_HOMUN_NAME_03	卡輔
CORE_HOMUN_NAME_04	拉迪亞圖斯
CORE_HOMUN_NAME_05	拉庫諾素斯
CORE_HOMUN_NAME_06	貝魯奇杜斯
CORE_HOMUN_NAME_07	梅迪奧庫利斯
CORE_HOMUN_NAME_08	弗洛庫斯
CORE_HOMUN_NAME_09	弗拉圖斯
CORE_HOMUN_NAME_10	帕努斯
CORE_HOMUN_NAME_11	杜普利卡圖斯
CORE_HOMUN_NAME_12	姆盧斯
CORE_HOMUN_NAME_13	庫姆洛林布斯
CORE_HOMUN_NAME_14	阿士佩拉圖斯
CORE_HOMUN_NAME_15	沃魯圖斯
CORE_HOMUN_NAME_16	卡斯堤拉努斯
CORE_HOMUN_NAME_17	壬波史特拉圖斯
CORE_HOMUN_NAME_18	圖巴
CORE_HOMUN_NAME_19	歐帕庫斯
CORE_HOMUN_NAME_20	維爾迦
CORE_HOMUN_NAME_21	阿烏雷歐雷
CORE_HOMUN_NAME_22	康捷斯圖斯
CORE_HOMUN_NAME_23	傑尼圖斯
CORE_HOMUN_NAME_24	史皮薩圖斯
CORE_HOMUN_NAME_25	烏米利斯
CORE_HOMUN_NAME_26	伊利迪生特
CORE_HOMUN_NAME_27	伊利迪生特·核心
CORE_HOMUN_NAME_28	統治者·伊利迪生特
CORE_HOMUN_NAME_29	派羅庫姆路斯
CORE_HOMUN_NAME_30	統治者·派羅庫姆路斯
CORE_HOMUN_NAME_31	奇羅史特拉圖斯
CORE_HOMUN_NAME_32	奇羅庫姆路斯
CORE_HOMUN_NAME_33	史特托庫姆路斯
CORE_HOMUN_NAME_34	辛裘拉利提 混沌體
CORE_HOMUN_NAME_35	辛裘拉利提 安定體
CORE_HOMUN_NAME_36	辛裘拉利提 確定體
CORE_HOMUN_NAME_37	安西努斯
CORE_BOSS_NAME_01	斯特萊德
CORE_BOSS_NAME_02	黑暗亞當
CORE_BOSS_NAME_03	黑暗夏娃
CORE_BOSS_ALIAS_01	迷茫者
CORE_BOSS_ALIAS_02	渴求真相的復仇者
CORE_BOSS_ALIAS_03	鬥爭與破壞的魔女
CORE_BEAST_NAME_01	蝴蝶夫人
CORE_BEAST_NAME_91	蝴蝶女王
CORE_BEAST_NAME_02	格摩拉
CORE_BEAST_NAME_92	罪·格摩拉
CORE_BEAST_NAME_03	蜘蛛亡靈
CORE_BEAST_NAME_93	幻象
CORE_BEAST_NAME_04	瑪法斯
CORE_BEAST_NAME_05	拉波斯
CORE_BEAST_NAME_06	巴爾
CORE_BEAST_NAME_94	巴爾·西卜
CORE_BEAST_NAME_07	米克特蘭特庫特利
CORE_BEAST_NAME_08	愛娜溫
CORE_BEAST_NAME_09	戰鬥機關車 轟怨
CORE_BEAST_NAME_10	多足海怪
CORE_BEAST_NAME_11	暗影鐘樓
CORE_BEAST_NAME_12	惡魔羅丹
CORE_BEAST_NAME_13	小柴貓
CORE_BEAST_NAME_14	冥河夫人
CORE_BEAST_NAME_16	[ICON:MICTLAN ]型態Y
CORE_BEAST_NAME_17	[ICON:MICTLAN ]型態X
CORE_BEAST_NAME_18	[ICON:LABOLAS ]正分裂為五隻
CORE_BEAST_NAME_19	[ICON:TOWER ]暗影盔甲
CORE_ANGEL_NAME_01	親和
CORE_ANGEL_NAME_02	摯愛
CORE_ANGEL_NAME_03	恩典
CORE_ANGEL_NAME_04	榮耀
CORE_ANGEL_NAME_05	接納
CORE_ANGEL_NAME_06	榮譽
CORE_ANGEL_NAME_07	勇敢
CORE_ANGEL_NAME_08	佛提圖多
CORE_GOLEM_NAME_01	魔像
CORE_ANGEL_CLASS_01	下級三隊 天使
CORE_ANGEL_CLASS_02	中級三隊 能天使
CORE_ANGEL_CLASS_03	中級三隊 力天使
CORE_ANGEL_CLASS_04	中級三隊 力天使
CORE_ANGEL_CLASS_05	下級三隊 天使
CORE_ANGEL_CLASS_06	下級三隊 大天使
CORE_ANGEL_CLASS_07	上級三隊 智天使
CORE_ANGEL_CLASS_08	傳說
CORE_GOLEM_ALIAS_01	天魔導器
CORE_DEMON_NAME_01	醜陋
CORE_DEMON_NAME_02	痛楚
CORE_DEMON_ALIAS_01	渴望仇恨者
CORE_DEMON_ALIAS_02	刻劃痛苦者
CORE_MONEY_NAME_01	胚胎結晶
CORE_MONEY_NAME_02	光環
CORE_MONEY_NAME_03	寶晶
COP_NAME_IT_I_001	綠月桂
COP_NAME_IT_I_002	紫蝴蝶
COP_NAME_IT_O_001	曼德拉草的根
COP_NAME_IT_O_002	獨角獸的角
COP_NAME_IT_O_003	烤蠑螈
COP_NAME_IT_O_004	棒棒糖\n翠綠香草
COP_NAME_IT_O_005	大棒棒糖\n翠綠香草
COP_NAME_IT_O_006	棒棒糖\n艷紫魔法
COP_NAME_IT_O_007	大棒棒糖\n艷紫魔法
COP_NAME_IT_O_008	棒棒糖\n血腥玫瑰
COP_NAME_IT_O_009	大棒棒糖\n血腥玫瑰
COP_NAME_IT_O_010	棒棒糖\n澄黃之月
COP_NAME_IT_O_011	大棒棒糖\n澄黃之月
COP_NAME_IT_O_012	米達斯之證
COP_NAME_IT_O_013	炙熱鮮紅針筒
COP_NAME_IT_R_001	白金券
COP_NAME_IT_R_002	唱片
COP_NAME_IT_R_007	模型盒01
COP_NAME_IT_R_008	模型盒02
COP_NAME_IT_R_009	模型盒03
COP_NAME_IT_R_010	模型盒04
COP_NAME_IT_R_011	模型盒05
COP_NAME_IT_R_062	模型盒06
COP_NAME_IT_R_063	模型盒07
COP_NAME_IT_R_064	模型盒08
COP_NAME_IT_R_065	模型盒09
COP_NAME_IT_R_066	模型盒10
COP_NAME_IT_R_067	模型盒11
COP_NAME_IT_R_068	模型盒12
COP_NAME_IT_R_069	模型盒13
COP_NAME_IT_R_070	模型盒14
COP_NAME_IT_R_071	模型盒15
COP_NAME_IT_R_072	模型盒16
COP_NAME_IT_R_073	模型盒17
COP_NAME_IT_R_074	模型盒18
COP_NAME_IT_R_075	模型盒19
COP_NAME_IT_R_076	模型盒20
COP_NAME_IT_R_077	模型盒21
COP_NAME_IT_R_078	模型盒22
COP_NAME_IT_R_079	模型盒23
COP_NAME_IT_R_080	模型盒24
COP_NAME_IT_R_081	模型盒25
COP_NAME_IT_R_082	模型盒26
COP_NAME_IT_R_083	模型盒27
COP_NAME_IT_R_084	模型盒28
COP_NAME_IT_R_085	模型盒29
COP_NAME_IT_R_086	模型盒30
COP_NAME_IT_R_087	模型盒31
COP_NAME_IT_R_088	模型盒32
COP_NAME_IT_R_089	模型盒33
COP_NAME_IT_R_012	卡牌遊戲包01
COP_NAME_IT_R_013	卡牌遊戲包02
COP_NAME_IT_R_014	卡牌遊戲包03
COP_NAME_IT_R_015	卡牌遊戲包04
COP_NAME_IT_R_016	卡牌遊戲包05
COP_NAME_IT_R_180	卡牌遊戲包06
COP_NAME_IT_R_181	卡牌遊戲包07
COP_NAME_IT_R_182	卡牌遊戲包08
COP_NAME_IT_R_183	卡牌遊戲包09
COP_NAME_IT_R_184	卡牌遊戲包10
COP_NAME_IT_R_999	超級換裝鏡3
COP_NAME_IT_R_018	超級換裝鏡β1
COP_NAME_IT_R_019	超級換裝鏡β2
COP_NAME_IT_R_020	超級換裝鏡β3
COP_NAME_IT_R_021	超級換裝鏡β4
COP_NAME_IT_R_022	超級換裝鏡
COP_NAME_IT_R_023	超級換裝鏡2
COP_NAME_IT_R_025	火燒酷刑貓（白）
COP_NAME_IT_R_026	火燒酷刑貓（紅）
COP_NAME_IT_R_027	打釘酷刑貓（白）
COP_NAME_IT_R_028	打釘酷刑貓（橘）
COP_NAME_IT_R_029	電擊酷刑貓（白）
COP_NAME_IT_R_030	電擊酷刑貓（紫）
COP_NAME_IT_R_031	嗜血酷刑貓（白）
COP_NAME_IT_R_032	嗜血酷刑貓（綠）
COP_NAME_IT_R_033	小天使（白）
COP_NAME_IT_R_034	小天使（黑）
COP_NAME_IT_R_035	小雞
COP_NAME_IT_R_036	Nintendo Switch
COP_NAME_IT_R_998	陳舊的繪本
COP_NAME_IT_R_042	睡犬雕像
COP_NAME_IT_R_043	知名大樓擺飾
COP_NAME_IT_R_044	手提燈籠
COP_NAME_IT_R_045	投石器磁鐵
COP_NAME_IT_R_046	武將擺飾
COP_NAME_IT_R_047	仙人水墨畫
COP_NAME_IT_R_048	風神沙漏
COP_NAME_IT_R_049	毒蛙抱枕
COP_NAME_IT_R_050	儀式面具
COP_NAME_IT_R_051	迷你凱旋門
COP_NAME_IT_R_052	觀光巴士鐵牌
COP_NAME_IT_R_053	觀光景點磁鐵
COP_NAME_IT_R_111	模型盒
COP_NAME_IT_R_112	卡牌遊戲包
COP_NAME_IT_R_100	調色子彈　\nβ1原型
COP_NAME_IT_R_101	調色子彈１　\nβ1紅色
COP_NAME_IT_R_102	調色子彈2　\nβ1黑色
COP_NAME_IT_R_103	調色子彈3　\nβ1橘色
COP_NAME_IT_R_104	調色子彈4　\nβ1黃色
COP_NAME_IT_R_105	調色子彈5　\nβ1綠色
COP_NAME_IT_R_106	調色子彈6　\nβ1藍色
COP_NAME_IT_R_107	調色子彈7　\nβ1粉紅色
COP_NAME_IT_R_120	頭髮顏色 β1黑色
COP_NAME_IT_R_121	頭髮顏色 β1銀色
COP_NAME_IT_R_122	頭髮顏色 β1紅色
COP_NAME_IT_R_126	頭髮顏色 β1紫色
COP_NAME_IT_R_127	頭髮顏色 β1粉紅色
COP_NAME_IT_R_123	頭髮顏色 β1黃色
COP_NAME_IT_R_124	頭髮顏色 β1綠色
COP_NAME_IT_R_125	頭髮顏色 β1橘色
COP_NAME_IT_R_150	鏡框顏色\nβ1黑色
COP_NAME_IT_R_151	鏡框顏色\nβ1紅色
COP_NAME_IT_R_152	鏡框顏色\nβ1深藍色
COP_NAME_IT_R_153	鏡框顏色\nβ1橘色
COP_NAME_IT_R_154	鏡框顏色\nβ1粉紅色
COP_NAME_IT_R_155	鏡框顏色\nβ1黃色
COP_NAME_IT_R_156	鏡框顏色\nβ1綠色
COP_NAME_IT_R_157	鏡框顏色\nβ1白色
COP_NAME_IT_R_200	調色子彈　\nβ2原型
COP_NAME_IT_R_201	調色子彈9　\nβ2黃色
COP_NAME_IT_R_202	調色子彈10　\nβ2黑色
COP_NAME_IT_R_203	調色子彈11　\nβ2橘色
COP_NAME_IT_R_204	調色子彈12　\nβ2祖母綠
COP_NAME_IT_R_205	調色子彈13　\nβ2藍色
COP_NAME_IT_R_206	調色子彈14　\nβ2紫色
COP_NAME_IT_R_207	調色子彈15　\nβ2白色
COP_NAME_IT_R_220	頭髮顏色 β2黑色
COP_NAME_IT_R_221	頭髮顏色 β2銀色
COP_NAME_IT_R_222	頭髮顏色 β2紅色
COP_NAME_IT_R_226	頭髮顏色 β2紫色
COP_NAME_IT_R_227	頭髮顏色 β2粉紅色
COP_NAME_IT_R_223	頭髮顏色 β2黃色
COP_NAME_IT_R_224	頭髮顏色 β2綠色
COP_NAME_IT_R_225	頭髮顏色 β2橘色
COP_NAME_IT_R_300	調色子彈　\nβ3原型
COP_NAME_IT_R_301	調色子彈16　\nβ3藍色
COP_NAME_IT_R_302	調色子彈17　\nβ3紅色
COP_NAME_IT_R_303	調色子彈18　\nβ3黃色
COP_NAME_IT_R_304	調色子彈19　\nβ3祖母綠
COP_NAME_IT_R_305	調色子彈20　\nβ3亮紫色
COP_NAME_IT_R_306	調色子彈21　\nβ3黑色
COP_NAME_IT_R_307	調色子彈22　\nβ3絲白色
COP_NAME_IT_R_320	頭髮顏色 β3黑色
COP_NAME_IT_R_321	頭髮顏色 β3銀色
COP_NAME_IT_R_322	頭髮顏色 β3紅色
COP_NAME_IT_R_326	頭髮顏色 β3紫色
COP_NAME_IT_R_327	頭髮顏色 β3粉紅色
COP_NAME_IT_R_323	頭髮顏色 β3黃色
COP_NAME_IT_R_324	頭髮顏色 β3綠色
COP_NAME_IT_R_325	頭髮顏色 β3橘色
COP_NAME_IT_R_400	調色子彈　\nβ4原型
COP_NAME_IT_R_401	調色子彈23　\nβ4深藍色
COP_NAME_IT_R_402	調色子彈24　\nβ4紅色
