LayoutMsg\Common_CinemaScope_00.msbt
SubjectMiiName	{[c800|0502010d]}
DemoDM104073_DayNight_Failure_Cmn_01	咦？
DemoDM104073_DayNight_Failure_Cmn_02	{[c800|0a01000d]}呢？
DemoDM104073_DayNight_Failure_Lover_Cmn_01	这首歌完全就是在写我们呀。
DemoDM104074_00	啊，{[c800|0a01000d]}！\n今天也这么耀眼呀……
DemoDM104074_01	……嗯？
DemoDM104074_02	{[0607|01cd]}{[060b|09cd]}{[060a|0600715314201420]}危\x0f\x06\n{[060d|00cd]}{[060a|0600699614201420]}险～～\x0f\x06\n！
DemoDM104074_SuccessFailure_Cmn_03	来，从上面踏过吧！
DemoDM104074_Success_04	你还好吗？
DemoDM104074_Success_04_V000	没事吧？
DemoDM104074_Failure_04	{[c804|0000]}可以自己走{[c807|00cd]}……
DemoDM104074_Failure_04_V000	谢了……
DemoDM104075_Success_00	抓住你了哦～！
DemoDM104075_Success_01	{[c804|0000]}的心早就被你牢牢抓住了。
DemoDM104075_Failure_00	{[0607|05cd]}抓住{[060a|0000]}……\x0f\x06\n{[0604|00cd]}
DemoDM104075_Failure_01	{[060b|07cd]}你了……
DemoDM104076_00	你对{[c804|0000]}有多少喜欢？
DemoDM104076_01	这么多喜欢。
DemoDM104076_02	{[c804|0000]}有这么多！
DemoDM104076_03	那，{[c804|0000]}有这么多喜欢！
DemoDM104076_04	那，{[c804|0000]}有……
DemoDM104076_One_05	{[0608|7800]}这～么～～多～～
DemoDM104076_Both_05	{[0607|23cd]}{[0608|7800]}这～么～～多～～
DemoDM104076_One_06	{[0608|a000]}{[060a|0e009c55142014201420142014201420]}喜～\x0f\x06\n{[060d|00cd]}{[060a|0e00226b142014201420142014201420]}欢～～～\x0f\x06\n
DemoDM104076_Both_06	{[0607|23cd]}{[0608|a000]}{[060a|0e009c55142014201420142014201420]}喜～\x0f\x06\n{[060d|00cd]}{[060a|0e00226b142014201420142014201420]}欢～～～\x0f\x06\n
DemoDM104076_07	{[0607|23cd]}{[c804|0000]}也不输你哦！
DemoDM104076_08	{[0607|19cd]}{[0608|2c01]}{[060b|08cd]}呵呵呵……我们的喜欢一样多呢。
DemoDM104077_00	请尝一尝这个{[c807|00cd]}！
DemoDM104077_00_V000	来尝尝这个{[c807|00cd]}！
DemoDM104077_01	那就不客{[060a|0600146c14201420]}气……\x0f\x06\n
DemoDM104077_Success_00	味道真好。
DemoDM104078_00	不好意思。
DemoDM104078_01	请稍等{[c807|00cd]}。
DemoDM104078_02	点单……
DemoDM104078_03	贵宾两位，里面请{[c807|00cd]}～
DemoDM104078_04	让您久等了{[c807|00cd]}。
DemoDM104078_Dish_05	没受伤吧？
DemoDM104078_Raptor_05_00	唔，{[c804|0000]}想要……
DemoDM104078_Raptor_05_01	{[0602]}喂——！
DemoDM104078__06	今天还是回家吃算了{[c807|00cd]}……
DemoDM104080_00	在这里遇到，好巧呀～
DemoDM104080_00_V000	在这里遇到，真巧～
DemoDM104080_01	这是要去哪里呀～？
DemoDM104080_01_V000	你要去哪里啊～？
DemoDM104080_02	说说嘛~
DemoDM104080_02_V000	说说嘛~
DemoDM104081_Long_Many_00	织得很好呀。
DemoDM104081_Long_Many_00_V000	织得不错哦。
DemoDM104081_Toy_00	能为{[c804|0000]}织些什么吗？
DemoDM104081_Toy_00_V000	给{[c804|0000]}织些什么吧。
DemoDM104081_Toy_01	请稍等{[c807|00cd]}……
DemoDM104081_Toy_01_V000	你等等{[c807|00cd]}……
DemoDM104081_Toy_02	还喜欢吗？
DemoDM104081_Toy_02_V000	喜欢吧？
DemoPR000110_Long_Many_00	织得很好呀。
DemoPR000110_Long_Many_00_V000	织得不错哦。
DemoPR000110_Toy_00	能为{[c804|0000]}织些什么吗？
DemoPR000110_Toy_00_V000	给{[c804|0000]}织些什么吧。
DemoPR000110_Toy_01	请稍等{[c807|00cd]}……
DemoPR000110_Toy_01_V000	你等等{[c807|00cd]}……
DemoPR000110_Toy_02	还喜欢吗？
DemoPR000110_Toy_02_V000	喜欢吧？
DemoPR000111_Long_Many_00	织得很好呀。
DemoPR000111_Long_Many_00_V000	织得不错哦。
DemoPR000111_Toy_00	能为{[c804|0000]}织些什么吗？
DemoPR000111_Toy_00_V000	给{[c804|0000]}织些什么吧。
DemoPR000111_Toy_01	请稍等{[c807|00cd]}……
DemoPR000111_Toy_01_V000	你等等{[c807|00cd]}……
DemoPR000111_Toy_02	还喜欢吗？
DemoPR000111_Toy_02_V000	喜欢吧？
DemoDM104083_00	我们去哪里逛逛吧？
DemoDM104083_01	{[c800|0901000d]}有想去的地方吗？
DemoDM104083_02	哪……哪里都可以。
DemoDM104083_03	我们{[0604|00cd]}去那里吧。
DemoDM104084_Run_X0_00	{[0607|19cd]}{[060b|06cd]}等等{[c804|0000]}呀～
DemoDM104084_Run_X1_00	{[0607|19cd]}{[060b|06cd]}喂，告诉{[c804|0000]}啦～
DemoDM104084_Run_X0_01	{[0607|19cd]}{[060b|06cd]}来抓{[c804|0000]}呀～
DemoDM104084_Run_X1_01	{[0607|19cd]}{[060b|06cd]}哎呀～{[0605|960001cd]}要不要告诉呢～
DemoDM104084_Run_X0_02	{[0607|19cd]}{[060b|06cd]}看{[c804|0000]}把你吃掉～
DemoDM104084_Run_X1_02	{[0607|19cd]}{[060b|06cd]}你为什么{[0604|00cd]}会这么完美呀～？
DemoDM104084_Run_X0_03	{[0607|19cd]}{[060b|06cd]}好可怕～～
DemoDM104084_Run_X1_03	{[0607|19cd]}{[060b|06cd]}这都要怪{[c800|0a01000d]}呀～
DemoDM104084_Run_04	{[0607|19cd]}{[060b|0dcd]}呵呵呵～
DemoDM104084_Run_05	{[0607|19cd]}{[060b|0dcd]}啊哈哈～
DemoDM104084_Play_00	{[060b|06cd]}啊哈哈，啊哈哈！
DemoDM104084_Play_01	{[060b|06cd]}看你干的好事～
DemoDM104084_Play_02	{[0607|19cd]}{[060b|0dcd]}{[c804|0000]}要惩罚你～
DemoDM104084_Play_03	{[0607|19cd]}{[060b|0dcd]}好凉呀～
DemoDM104085_00	这么巧呀……
DemoDM104085_01	不介意的话{[0604|00cd]}{[060a|0000]}，\x0f\x06\n{[c804|0000]}{[0604|00cd]}分一个这个给你吧……
DemoDM104085_One_00	不不{[0604|00cd]}{[060a|0000]}，\x0f\x06\n不用这么客气……
DemoDM104085_One_01	别推辞了{[0604|00cd]}{[060a|0000]}，\x0f\x06\n请收下……
DemoDM104085_One_02	不不{[0604|00cd]}{[060a|0000]}，\x0f\x06\n怎么能收这么贵重的东西……
DemoDM104085_One_03	反正也是别人给{[c804|0000]}的……
DemoDM104085_One_04	心领了、心领了……
DemoDM104085_One_05	别这么说嘛……
DemoDM104085_Both_00	正好，{[0605|c80001cd]}\n{[c804|0000]}也有东西想给你……
DemoDM104085_Both_01	这么昂贵的东西{[0604|00cd]}{[060a|0000]}，\x0f\x06\n{[c804|0000]}可不能收。{[0605|c80001cd]}\n{[c804|0000]}的这个是别人给的，分你一个……
DemoDM104085_Both_02	不不{[0604|00cd]}{[060a|0000]}，\x0f\x06\n这东西{[c804|0000]}有很多，\n请安心收下……
DemoDM104085_Both_03	别这么说嘛……
DemoDM104086_00	嗯？
DemoDM104086_01	那是……
DemoDM104086_02	无论是谁{[0604|00cd]}都有秘密……
DemoDM104086_02_V000	这事……可不能和任何人说……
DemoDM104087_Thanks_00	谢谢你一直收拾{[c807|00cd]}。
DemoDM104087_Thanks_01	谢谢你一直做好吃的饭菜{[c807|00cd]}。
DemoDM104087_Cook_SuccessFailure_Cmn_00	放点那个！
DemoDM104087_Cook_SuccessFailure_Cmn_01	再加点平时用的那个！
DemoDM104087_Cook_SuccessFailure_Cmn_02	还需要满满爱意！
DemoDM104087_Cook_Success_03	做得很成功呢！
DemoDM104087_Cook_Failure_03	今天{[0604|00cd]}就不吃饭了吧……
DemoDM104088_00	{[0606|7800]}{[0602]}不得了～～～～！！
DemoDM104088_01	{[0602]}{[0606|9600]}没事吧？！{[c800|0a01000d]}？！{[0004]}{[0606|9600]}怎么了？！
DemoDM104088_02	浴缸里有只苍蝇～
DemoDM104088_02_V000	洗发水全翻了～
DemoDM104088_02_V001	洗发水和护发素搞错了～
DemoDM104089_00	喂，{[c800|0a01000d]}～
DemoDM104089_01	{[0602]}{[060b|06cd]}{[0607|19cd]}{[060a|1600c754fc30fc30fc30fc30fc30fc30fc30fc30fc3001ff]}哇ーーーーーーーー！\x0f\x06\n
DemoDM104090_Hide_00	等一下！
DemoDM104090_Hide_01	{[060c|00cd]}{[c804|0000]}正在这里玩捉迷藏，请不要{[0604|00cd]}宣扬……
DemoDM104090_Hide_01_V000	{[060c|00cd]}{[c804|0000]}在玩捉迷藏呢，别说给{[0604|00cd]}别人听啊……
DemoDM104090_Hide_01_V001	{[060c|00cd]}从远处投掷垃圾这个行为不好哦……
DemoDM104090_Hide_01_V002	{[060c|00cd]}从远处扔垃圾不好哦……
DemoDM104090_Hide_01_V003	{[060c|00cd]}这里仅限丢弃干垃圾……
DemoDM104090_Hide_01_V004	{[060c|00cd]}这里只能扔干垃圾哦……
DemoDM104092_Inviting_Inviting_Love_00	{[0501]}，请听{[c807|00cd]}。
DemoDM104092_Inviting_X0_00	《{[021b|00cd]}之歌》。
DemoDM104092_Inviting_X1_00	《{color[0000]}{[020c|0000]}{color[ffff]}之歌》。
DemoDM104092_Inviting_X2_00	《{[0501]}之歌》。
DemoDM104092_Inviting_Love_X0_00	《总之就是喜欢》。
DemoDM104092_Inviting_Love_X1_00	《不服输的爱》。
DemoDM104092_FocusLeading_FocusLeading_Love_00	请弹奏一曲{[c807|00cd]}。
DemoDM104093_Normal_00	嘲笑{[0200|00000001]}的人……{[0605|c20101cd]}{[0004]}终将被{[0200|01000001]}嘲笑{[c807|00cd]}。
DemoDM104093_Normal_00_V000	不要模仿{[0200|00000001]}……{[0605|c20101cd]}{[0004]}而要成为{[0200|00000001]}。
DemoDM104093_Normal_00_V001	以{[0200|00000001]}为镜……{[0605|c20101cd]}{[0004]}可以明得失{[c807|00cd]}。
DemoDM104093_Normal_00_V002	{[0200|00000001]}{[0604|01cd]}有失手，马有失蹄{[c807|00cd]}。
DemoDM104093_Normal_00_V003	心急的{[0200|00000001]}……{[0605|c20101cd]}{[0004]}吃不了热豆腐{[c807|00cd]}。
DemoDM104093_Normal_00_V004	{[0200|00010001]}……{[0605|c20101cd]}{[0004]}终将拯救人类{[c807|00cd]}。
DemoDM104093_Normal_00_V005	{[0200|00010001]}……{[0605|c20101cd]}{[0004]}会在需要时出现{[c807|00cd]}。
DemoDM104093_Normal_00_V006	观他人{[0200|00010001]}……{[0605|c20101cd]}{[0004]}正自身{[0200|00010001]}{[c807|00cd]}。
DemoDM104093_Normal_00_V007	父母的{[0200|00010001]}……{[0605|c20101cd]}{[0004]}借钱也要买。
DemoDM104093_Normal_00_V008	别人家的{[0200|00010001]}……{[0605|c20101cd]}{[0004]}总比自家的好{[c807|00cd]}。
DemoDM104093_Normal_00_V009	警醒吧！{[0605|c20101cd]}{[0004]}{[0200|00010001]}之日已近{[c807|00cd]}……
DemoDM104093_Normal_00_V010	所谓幸福……{[0605|c20101cd]}{[0004]}就是{[0200|00020201]}{[c807|00cd]}。
DemoDM104093_Normal_00_V011	{[0200|00020001]}最好的时候……{[0605|c20101cd]}{[0004]}就是现在{[c807|00cd]}。
DemoDM104093_Normal_00_V012	活着不是为了一呼一吸……{[0605|c20101cd]}{[0004]}而是为了{[0200|00020001]}{[c807|00cd]}。
DemoDM104093_Normal_00_V013	如果一个人拒绝{[0200|00020201]}，{[0605|c20101cd]}{[0004]}那这个人也会被{[0200|01020201]}拒绝。
DemoDM104093_Normal_00_V014	{[0200|00020101]}要适可而止……{[0605|c20101cd]}\n绝不可{[0200|01020301]}。
DemoDM104093_Normal_00_V015	{[0200|00030001]}者，{[0605|c20101cd]}{[0004]}不与人相争{[c807|00cd]}。
DemoDM104093_Normal_00_V016	还没变得{[0200|01030001]}时……{[0605|c20101cd]}{[0004]}就别想着要变{[0200|00030001]}。
DemoDM104093_Normal_00_V017	看人变{[0200|00030001]}{[0604|00cd]}容易，{[0605|c20101cd]}{[0004]}自己变{[0200|00030001]}难{[c807|00cd]}。
DemoDM104093_Normal_00_V018	近{[0200|00030001]}者……{[0605|c20101cd]}{[0004]}也会{[0200|00030001]}。
DemoDM104093_Normal_00_V019	羡慕别人{[0200|00030001]}，{[0605|c20101cd]}{[0004]}不如自己变{[0200|00030001]}。
DemoDM104093_Normal_00_V020	好了伤疤……{[0605|c20101cd]}{[0004]}忘了{[0200|00040001]}{[c807|00cd]}。
DemoDM104093_Normal_00_V021	勿忘{[0200|00040001]}……{[0605|c20101cd]}{[0004]}{[0200|00040001]}至关重要。
DemoDM104093_Normal_00_V022	{[0200|00040001]}之中……{[0605|c20101cd]}{[0004]}蕴藏人生真意。
DemoDM104093_Normal_00_V023	有空扯{[0604|00cd]}{[0200|00040001]}……{[0605|c20101cd]}{[0004]}不如立即去工作{[c807|00cd]}。
DemoDM104093_Normal_00_V024	人越是处于渴望爱的状态，{[0605|c20101cd]}{[0004]}就越适合谈论{[0200|00040001]}{[c807|00cd]}。
DemoDM104093_Normal_00_V025	“{[0200|00050001]}”……{[0605|c20101cd]}{[0004]}请一心一意地念诵它{[c807|00cd]}。
DemoDM104093_Normal_00_V026	传达一句重要的话……{[0605|c20101cd]}{[0004]}“{[0200|00050001]}”……
DemoDM104093_Normal_00_V027	遭受挫折之时，就请念诵……{[0605|c20101cd]}{[0004]}“{[0200|00050001]}”……
DemoDM104093_Normal_00_V028	传授一句神圣之语……{[0605|c20101cd]}{[0004]}“{[0200|00050001]}”……
DemoDM104093_Normal_00_V029	欲召唤{[c804|0000]}时，便念诵此语……{[0605|c20101cd]}{[0004]}“{[0200|00050001]}”……
DemoDM104093_Normal_00_V030	你把那个那样了一事，将得到宽恕……
DemoDM104093_Normal_00_V031	你的……{[0605|c20101cd]}{[0004]}“第29个愿望”将得到实现{[c807|00cd]}。
DemoDM104093_Normal_00_V032	做人做事……{[0605|c20101cd]}{[0004]}要{[0604|01cd]}有度{[c807|00cd]}。
DemoDM104093_Normal_00_V033	……今日状态不佳……{[0605|c20101cd]}{[0004]}请明天{[0604|00cd]}再来{[c807|00cd]}。
DemoDM104093_Normal_00_V034	与其坐而烦恼……{[0605|c20101cd]}{[0004]}不如起而行动{[c807|00cd]}。
DemoDM104093_Normal_00_V035	早就已经发现了……{[0605|c20101cd]}{[0004]}你总是注视着我……
DemoDM104093_Normal_00_V036	赶快发现吧……{[0605|c20101cd]}{[0004]}我一直注视着你……
DemoDM104093_LoverCouple_00	爱就如同……{[0605|c20101cd]}{[0004]}神圣之{[0200|00010001]}。
DemoDM104093_LoverCouple_00_V000	心爱之人正等待着……{[0605|c20101cd]}{[0004]}你给予的{[0200|00010001]}{[c807|00cd]}。
DemoDM104093_LoverCouple_00_V001	只有相爱的两人……{[0605|c20101cd]}{[0004]}才能获得真正的{[0200|00010001]}{[c807|00cd]}。
DemoDM104093_LoverCouple_00_V002	要如同对待心爱之人般……{[0605|c20101cd]}{[0004]}对待{[0200|00010001]}。
DemoDM104093_LoverCouple_00_V003	相爱的两人所需要的……{[0605|c20101cd]}{[0004]}仅仅是{[0200|00010001]}{[c807|00cd]}。
DemoDM104093_LoverCouple_00_V004	{[0200|00020201]}扼杀爱意……{[0605|c20101cd]}{[0004]}{[0200|01020301]}点燃爱火{[c807|00cd]}。
DemoDM104093_LoverCouple_00_V005	爱一个人的苦恼……{[0605|c20101cd]}{[0004]}比{[0200|00020001]}的各种乐趣都更令人愉悦。
DemoDM104093_LoverCouple_00_V006	真正的爱就是……{[0605|c20101cd]}{[0004]}不会一个人悄悄地{[0200|00020001]}{[c807|00cd]}。
DemoDM104093_LoverCouple_00_V007	爱会令人忘记{[0200|00020001]}……{[0605|c20101cd]}{[0004]}而{[0200|01020001]}能让爱消散{[c807|00cd]}。
DemoDM104093_LoverCouple_00_V008	这世上最神圣的举动……{[0605|c20101cd]}{[0004]}就是和心爱之人一起{[0200|00020001]}{[c807|00cd]}。
DemoDM104093_LoverCouple_00_V009	如果心爱之人{[0200|00030301]}……{[0605|c20101cd]}{[0004]}那还是仔细想想这份爱的真实性吧。
DemoDM104093_LoverCouple_00_V010	所谓爱……{[0605|c20101cd]}{[0004]}便是{[0200|00030001]}。
DemoDM104093_LoverCouple_00_V011	恋人要选{[0200|00030001]}的……{[0605|c20101cd]}{[0004]}而结婚对象要选{[0200|01030001]}的。
DemoDM104093_LoverCouple_00_V012	如果想被爱……{[0605|c20101cd]}{[0004]}就要{[0200|00030001]}。
DemoDM104093_LoverCouple_00_V013	不要悲叹心爱之人\n没有{[0200|00030001]}这一面……{[0605|c20101cd]}{[0004]}毕竟你也没{[0200|00030001]}的一面……
DemoDM104093_LoverCouple_00_V014	唯有畅聊过{[0200|00040001]}……{[0605|c20101cd]}{[0004]}才能孕育出真爱{[c807|00cd]}。
DemoDM104093_LoverCouple_00_V015	有人听你讲{[0200|00040001]}……{[0605|c20101cd]}{[0004]}这便是幸福{[c807|00cd]}。
DemoDM104093_LoverCouple_00_V016	要让心爱之人展露笑颜……{[0605|c20101cd]}{[0004]}就该在对方聊{[0604|01cd]}{[0200|00040001]}时{[0604|01cd]}\n听到最后{[c807|00cd]}。
DemoDM104093_LoverCouple_00_V017	如果想加深双方之间的爱……{[0605|c20101cd]}{[0004]}那就该每天谈论{[0200|00040001]}{[c807|00cd]}。
DemoDM104093_LoverCouple_00_V018	直到世界终结的那天……{[0605|c20101cd]}{[0004]}都和心爱之人\n一起畅聊{[0200|00040001]}吧。
DemoDM104093_LoverCouple_00_V019	如果不想让心爱之人感到无趣……{[0605|c20101cd]}{[0004]}聊{[0200|00040001]}的时候\n就要简短{[c807|00cd]}。
DemoDM104093_LoverCouple_00_V020	相爱的两人之间需要的话语……{[0605|c20101cd]}{[0004]}就只有“{[0200|00050001]}”{[0604|01cd]}这么一句{[c807|00cd]}。
DemoDM104093_LoverCouple_00_V021	心爱之人总在等你说……{[0605|c20101cd]}{[0004]}“{[0200|00050001]}”……
DemoDM104093_LoverCouple_00_V022	想确认自己被爱时，就如此向对方耳语……{[0605|c20101cd]}{[0004]}“{[0200|00050001]}”……
DemoDM104093_LoverCouple_00_V023	和心爱之人{[0604|00cd]}心意相通时，\n你必会不禁说出……{[0605|c20101cd]}{[0004]}“{[0200|00050001]}”……
DemoDM104093_LoverCouple_00_V024	公布最想听到恋人对自己说的话……{[0605|c20101cd]}{[0004]}就是“{[0200|00050001]}”这句{[c807|00cd]}！
DemoDM104093_LoverCouple_00_V025	爱不是两个人眼里只有对方……{[0605|c20101cd]}{[0004]}而是共同望向{[0604|00cd]}同一个方向{[c807|00cd]}。
DemoDM104093_LoverCouple_00_V026	爱不可过于热烈……{[0605|c20101cd]}{[0004]}这才是维系爱情的长久之道。
DemoDM104093_LoverCouple_00_V027	恋人之间的争吵……{[0605|c20101cd]}{[0004]}是一次爱的更新{[c807|00cd]}。
DemoDM104093_LoverCouple_00_V028	所谓爱……{[0605|c20101cd]}{[0004]}就是两个人分享\n同一份{[020d|00000100]}{[c807|00cd]}。
DemoDM104093_LoverCouple_00_V029	若想结束恋情……{[0605|c20101cd]}{[0004]}就去毁坏对方的{[0210|0000010d00cd]}{[c807|00cd]}。
DemoDM104093_LoverCouple_00_V030	所谓爱……{[0605|c20101cd]}{[0004]}就是请我吃{[020d|00000100]}。
DemoDM104093_LoverCouple_00_V031	如果认为自己在争吵中没有过错……{[0605|c20101cd]}{[0004]}那就该率先道歉{[c807|00cd]}。
DemoDM104093_Negative_00	我明白……{[0605|c20101cd]}{[0004]}悲伤之后总是紧跟着喜悦。
DemoDM104093_Negative_00_V000	就算失恋……{[0605|c20101cd]}{[0004]}也好过从未爱过{[c807|00cd]}。
DemoDM104093_Negative_00_V001	这一次恋爱留下的伤痕……{[0605|c20101cd]}{[0004]}会被下一次恋爱{[0604|00cd]}治愈{[c807|00cd]}。
DemoDM104093_Negative_00_V002	我问你爱是什么……{[0605|c20101cd]}{[0004]}爱就是浓雾中闪烁的一颗星{[c807|00cd]}。
DemoDM104093_Negative_00_V003	面对无可奈何的事情……{[0605|c20101cd]}{[0004]}将之遗忘{[0604|00cd]}才会幸福{[c807|00cd]}。
DemoDM104093_Negative_00_V004	时光易逝……{[0605|c20101cd]}{[0004]}恋人分手难回头{[c807|00cd]}……
DemoDM104093_Negative_00_V005	你能做的只有……{[0605|c20101cd]}{[0004]}祈祷分手的恋人能幸福{[c807|00cd]}。
DemoDM104093_Negative_00_V006	痛苦的经历受时间冲刷……{[0605|c20101cd]}{[0004]}终会转变为快乐的回忆{[c807|00cd]}。
DemoDM104093_Negative_00_V007	幸福长着翅膀……{[0605|c20101cd]}{[0004]}所以很难拴住{[c807|00cd]}。
DemoDM104093_Negative_00_V008	对爱越是紧追不舍……{[0605|c20101cd]}{[0004]}爱就越会{[0604|00cd]}离你而去{[c807|00cd]}。
DemoDM104093_Negative_00_V009	祸从口出……
DemoDM104093_Negative_00_V010	真正的爱情……{[0605|c20101cd]}{[0004]}必不可能一帆风顺{[c807|00cd]}。
DemoDM104093_Negative_00_V011	破灭的爱……{[0605|c20101cd]}{[0004]}也会随时间变成美好回忆{[c807|00cd]}。
DemoDM104093_Negative_00_V012	覆水难收。
DemoDM104093_Negative_00_V013	你当祝福离开之人{[c807|00cd]}……
DemoDM104093_Negative_00_V014	有形之物……{[0605|c20101cd]}{[0004]}终将毁坏{[c807|00cd]}。
DemoDM104093_Negative_00_V015	不可认为友情会永远牢固……{[0605|c20101cd]}{[0004]}友情就是一份标上期限的合约{[c807|00cd]}。
DemoDM104093_Negative_00_V016	友情的可贵……{[0605|c20101cd]}{[0004]}只有在失去后{[0604|01cd]}才能认清{[c807|00cd]}。
DemoDM104093_Negative_00_V017	只要曾拥有过朋友……{[0605|c20101cd]}{[0004]}人生便已{[0604|00cd]}有滋有味{[c807|00cd]}。
DemoDM104093_Negative_00_V018	偶尔也该回想起曾经的朋友{[c807|00cd]}。
DemoDM104093_Negative_00_V019	孤身一人便是人生的最终状态{[c807|00cd]}……
DemoDM104093_Negative_00_V020	盛放的花朵终将凋零……{[0605|c20101cd]}{[0004]}友情{[0604|00cd]}亦如此{[c807|00cd]}。
DemoDM104093_Negative_00_V021	祝福离你而去的人吧……{[0605|c20101cd]}{[0004]}离去之人也会为你祝福{[c807|00cd]}。
DemoDM104094_00	想换一换房间的氛围……{[0605|580201cd]}\n比如……
DemoDM104094_01	像这样的……
DemoDM104094_02	这样的也不错……
DemoDM104094_03	不过现在这样也很好……{[0605|2c0101cd]}\n真叫人纠结～
DemoDM104095_00	先不要睁开眼睛哦。
DemoDM104095_01	好暖和{[c807|00cd]}……
DemoDM104098_X0_00	无论{[c800|0a01000d]}在哪里，{[c804|0000]}都不会找不到哦。
DemoDM104098_X0_01	那{[c804|0000]}躲起来，你来找{[c804|0000]}吧。
DemoDM104098_X0_02	{[c800|0a01000d]}在哪里呢～
DemoDM104098_X0_03	在这里吗？
DemoDM104098_X0_04	那就是这里！
DemoDM104098_X0_05	该不会在天花板上？！
DemoDM104098_X0_06	{[c800|0a01000d]}……究竟跑到哪里去了？
DemoDM104098_X1_00	最近{[c804|0000]}待在家里的时候{[0604|00cd]}，总感觉有一道视线……
DemoDM104098_X1_01	是你的错觉啦。
DemoDM104098_X1_02	还是觉得……有人在看着{[c804|0000]}……
DemoDM104098_X1_03	……
DemoDM104098_X1_04	唔……
DemoDM104098_X1_05	天花板上有人！\n……不可能的啦……
DemoDM104098_X1_06	大概就像{[c800|0a01000d]}说的，是{[c804|0000]}的错觉吧？
DemoDM104098S1_X0_00	我们都结婚了啊，{[c800|0a01000d]}的事情{[0604|00cd]}，\n{[c804|0000]}什么都知道。
DemoDM104098S1_X0_01	呵呵呵……那你能找到{[c804|0000]}吗？
DemoDM104098S1_X0_02	我们总是在一起啊，{[c804|0000]}马上就能找到你……
DemoDM104098S1_X0_03	冰箱里……再怎么说也不可能吧……
DemoDM104098S1_X0_04	咦？怎么回事？\n{[c800|0a01000d]}不见了……
DemoDM104098S1_X1_00	最近{[c804|0000]}待在家里的时候{[0604|00cd]}，总感觉有一道视线……
DemoDM104098S1_X1_01	是你的错觉啦。
DemoDM104098S1_X1_02	再怎么说也不可能在这里吧……
DemoDM104098S1_X1_03	大概就像{[c800|0a01000d]}说的，是{[c804|0000]}的错觉吧？
DemoDMCmn_CF_Orthodox_00	{[c804|0000]}喜欢你。
DemoDMCmn_CF_Orthodox_01	非常喜欢你。
DemoDMCmn_CF_Orthodox_02	请和{[c804|0000]}交往{[c807|00cd]}！
DemoDMCmn_CF_Romantic_00	啊……！
DemoDMCmn_CF_Romantic_01	{[c800|0a01000d]}……\n{[c804|0000]}的{[c800|0a01000d]}……
DemoPR000001_00	{[0607|19cd]}叮——
DemoPR000001_01	{[0607|19cd]}咚——{[0004]}现在时间是{[6403|0100]}。
DemoPR000013_P1_00	{[c80a|00cd]}谢谢你能来{[c807|00cd]}。
DemoPR000013_P1_01	嗯。
DemoPR000013_P1_02	其实……
DemoPR000013_P1_Success_00	{[c800|0a01000d]}，\n{[c804|0000]}今天有非常重要的话{[0604|00cd]}想跟你说{[c807|00cd]}。
DemoPR000013_P1_Success_01	咦，什么话啊？
DemoPR000013_P1_Failure_Mii_00	{[c800|0502000d]}，\n{[c804|0000]}有非常重要的话{[0604|00cd]}想跟你说{[c807|00cd]}。
DemoPR000013_P1_Failure_Mii_01	{[c804|0000]}不是{[c800|0502000d]}……
DemoPR000013_P1_Failure_Mii_02	对不起，{[c804|0000]}搞错了{[c807|00cd]}……
DemoPR000013_P1_Failure_Item_00	{[c804|0000]}今天有非常重要的话{[0604|00cd]}\n想跟{color[0000]}{[020c|0000]}{color[ffff]}说{[c807|00cd]}。
DemoPR000013_P1_Failure_Item_01	{[c804|0000]}不是{color[0000]}{[020c|0000]}{color[ffff]}……
DemoPR000013_P1_Failure_Item_02	对不起，{[c804|0000]}搞错了{[c807|00cd]}……
DemoPR000013_P2_00	重要的话就是……
DemoPR000013_P2_Success_00	每当{[c804|0000]}回过神来，\n就会发现自己脑子里想的全都是{[c800|0a01000d]}{[c807|00cd]}。
DemoPR000013_P2_Success_01	谢谢……{[c804|0000]}很高兴……
DemoPR000013_P2_Failure_Mii_00	每当{[c804|0000]}回过神来，\n就会发现自己脑子里想的全都是{[c800|0502000d]}{[c807|00cd]}。
DemoPR000013_P2_Failure_Mii_01	……你和{[c800|0502000d]}是什么关系？
DemoPR000013_P2_Failure_Mii_02	对不起，请忘了{[c804|0000]}刚才说的话……
DemoPR000013_P2_Failure_Item_00	每当{[c804|0000]}回过神来，\n就会发现自己脑子里想的全都是{color[0000]}{[020c|0000]}{color[ffff]}{[c807|00cd]}。
DemoPR000013_P2_Failure_Item_01	你想说的重要的话，就是这个吗？
DemoPR000013_P2_Failure_Item_02	对不起，{[0605|900101cd]}{[c804|0000]}有比{color[0000]}{[020c|0000]}{color[ffff]}\n更重要的话想说……
DemoPR000013_P2_Failure_Phrase_00	每当{[c804|0000]}回过神来，\n就会发现自己脑子里想的全都是“{color[0000]}{[0208|00cd]}{color[ffff]}”。
DemoPR000013_P2_Failure_Phrase_01	嗯，毕竟“{color[0000]}{[0208|00cd]}{color[ffff]}”\n是{[c800|0901000d]}的口头禅嘛。
DemoPR000013_P2_Failure_Phrase_02	对不起，{[0605|900101cd]}{[c804|0000]}有比“{color[0000]}{[0208|00cd]}{color[ffff]}”\n更重要的话想说……
DemoPR000013_P2_Failure_Word_00	每当{[c804|0000]}回过神来，\n就会发现自己脑子里想的全都是{[0200|00000000]}。
