common_AvatarCustomize.msbt
AVATARCLOTHES0000000	白色T恤
Test_Results05_05_02	靈活大腦王的存在，\n讓本校引以為傲！
Test_Results05_05_03	接下來也請你挑戰最佳紀錄，\n繼續按摩放鬆！
Test_Results06_01_01	那麼，來仔細看看\n測試結果吧！
Test_Results07_ZZ_01	……雖然我是這麼想的，\n但還是先等你習慣測試後再說吧！
Test_Results07_00_01	首先！這次的結果\n非常平均！
Test_Results07_00_02	你可以繼續像這樣很平均地放鬆大腦！\n也可以找出擅長的類別來放鬆大腦！
Test_Results07_cmm	首先！
Test_Results07_01_01	你最好的類別是{color[ff1010ff]}直覺{color[000000ff]}！
Test_Results07_01_02	在關鍵時刻，\n你可以相信自己的直覺！
Test_Results07_02_01	你最好的類別是{color[ff1010ff]}記憶{color[000000ff]}！
Test_Results07_02_02	如果記得朋友的生日，\n說不定能成為受歡迎的人！
Test_Results07_03_01	你最好的類別是{color[ff1010ff]}分析{color[000000ff]}！
Test_Results07_03_02	只要改變一下觀點，\n複雜的事物也會看起來很簡單！
Test_Results07_04_01	你最好的類別是{color[ff1010ff]}數字{color[000000ff]}！
Test_Results07_04_02	擅長數字的話，\n在各方面都會很便利！
Test_Results07_05_01	你最好的類別是{color[ff1010ff]}知覺{color[000000ff]}！
Test_Results07_05_02	精準捕捉眼前看到的事物\n是非常重要的！
Test_Results08_cmm	另外！
Test_Results08_01_01	你的{color[ff1010ff]}直覺{color[000000ff]}還有進步的空間呢！\n這就是需要按摩放鬆的地方！
Test_Results08_02_01	你的{color[ff1010ff]}記憶{color[000000ff]}還有進步的空間呢！\n這就是需要按摩放鬆的地方！
Test_Results08_03_01	你的{color[ff1010ff]}分析{color[000000ff]}還有進步的空間呢！\n這就是需要按摩放鬆的地方！
Test_Results08_04_01	你的{color[ff1010ff]}數字{color[000000ff]}還有進步的空間呢！\n這就是需要按摩放鬆的地方！
Test_Results08_05_01	你的{color[ff1010ff]}知覺{color[000000ff]}還有進步的空間呢！\n這就是需要按摩放鬆的地方！
Test_Results09_cmm	然後……
Test_Results09_01_01	試著冷靜下來，\n減少失誤，提高正確率吧！
Test_Results09_02_01	試著用最快的速度\n回答問題吧！
Test_Results09_03_01	保持冷靜，減少失誤的話，\n靈活度應該會提升很多！
Test_Results09_04_01	若能更快且更正確地回答問題，\n靈活度應該會提升很多！
Test_Results09_05_01	要繼續提升靈活度的話，\n就只能專心在考題上了！
Test_Results09_05_02	目標！突破極限！
Test_Results10_cmn	最後！
Test_Results10_01_01	你的靈活度\n似乎還有進步的空間喔！
Test_Results10_01_02	首先，在不同的伸展中\n以獲得高分為目標吧！
Test_Results10_02_01	如果在測試中出現了\n不擅長的考題……
Test_Results10_02_02	不要給大腦太多壓力，\n冷靜地面對吧♪
Test_Results10_03_01	如果是平常的你，\n應該會表現得更好吧！？
Test_Results10_03_02	偶爾讓大腦休息一下，\n會更神清氣爽喔！
Test_Results10_04_01	你的大腦\n應該更靈活的！
Test_Results10_04_02	這種時候最好就是\n什麼都不做，好好休息一下！
Test_Results10_05_01	測試的靈活度\n感覺很不錯！
Test_Results10_05_02	進行各種伸展，\n朝更高的目標邁進吧！
Test_Results10_06_01	現在的你持續伸展的話，\n一定會更加進步的！一定！
Test_Results10_06_02	無論是伸展還是測試，\n都要以獲得更高的分數為目標喔！
Test_Results10_07_01	如果是平常的你，\n應該會表現得更好吧！？
Test_Results10_07_02	偶爾讓大腦休息一下，\n會更神清氣爽喔！
Test_Results10_08_01	這次的狀態\n跟平常不太一樣呢。
Test_Results10_08_02	累了就先休息！\n我會一直等你的！
Test_Results10_09_01	這次測試的靈活度\n實在太棒了！
Test_Results10_09_02	如果有這樣的靈活度，\n伸展的紀錄也會進步的！
Test_Results10_10_01	測試的靈活度\n感覺非常不錯！
Test_Results10_10_02	這樣的話，說不定可以\n在伸展中獲得新獎牌喔！
Test_Results10_11_01	靈活度感覺很不錯，\n但你應該可以變得更加靈活的！
Test_Results10_11_02	無論是伸展還是測試，\n都要以獲得更高的分數為目標喔！
Test_Results10_12_01	跟伸展的紀錄相比的話，\n還有不少進步空間呢！
Test_Results10_12_02	期待在測試中也能看到你\n與生俱來的靈活度！
Test_Results10_13_01	大腦竟然這麼靈活，\n我太驚訝了！
Test_Results10_13_02	請一定要試著在伸展中\n收集到金秤獎牌喔！
Test_Results10_14_01	你在收集\n伸展的金秤獎牌嗎？
Test_Results10_14_02	如果是你的話，\n一定能收集到吧！
Test_Results10_15_01	現在的你，\n大腦非常靈活！
Test_Results10_15_02	無論是伸展還是測試，\n只要找到訣竅，就應該會進步的！
Test_Results10_16_01	這次的結果幾乎\n如實地反映出你的實力！
Test_Results10_16_02	伸展的靈活度非常不錯！\n也很期待你在測試的表現！
Test_Results10_17_01	看看測試的結果……\n大腦非常靈活！
Test_Results10_17_02	請你也一定要在伸展中\n按摩放鬆大腦！
Test_Results10_18_01	多麼了不起的潛力！\n測試結果真的太棒了！
Test_Results10_18_02	希望你在伸展中按摩放鬆大腦，\n朝更高的目標邁進！
Test_Results10_19_01	無論是測試還是伸展，\n靈活度都非常不錯呢！
Test_Results10_19_02	你可以以更高的段位或獎牌為目標！\n也可以進行幽靈對戰！都可以喔！
Test_Results10_20_01	測試的靈活度也非常不錯！\n是持續伸展的結果呢！
Test_Results10_20_02	這樣持續下去的話，\n真好奇你的大腦能變得多靈活！
Test_Results10_21_01	雖然測試的靈活度很不錯，\n但你幾乎沒有去伸展……？
Test_Results10_21_02	難道你……\n是隱藏的靈活大腦！？
Test_Results10_21_03	請務必試看看各種伸展！
Test_Results10_21_04	收集金秤獎牌的話，\n可能會發生什麼事！？
Test_Results10_22_01	以你的大腦靈活度來說……
Test_Results10_22_02	應該可以在伸展中\n不斷地獲得金秤獎牌！
Test_Results10_22_03	其實那面獎牌\n是我親手製作的！
Test_Results10_23_01	測試的結果\n實在太棒了！
Test_Results10_23_02	這是你持續伸展的成果啊！！
Test_Results10_24_01	無論是測試還是伸展，\n都太棒了！！
Test_Results10_24_02	{[0100]}！\n你是本校的模範生！！
Test_Results11_01_01	那麼……
Test_Results11_01_01_01	我要根據靈活度\n來發表你的{color[ff1010ff]}頭腦類型{color[000000ff]}！
Test_Results11_01_02	這是你這次的頭腦類型！
Event_Birthday_01	……咦？\n難道說今天是……
Event_Birthday_02	你的生日！生日快樂！\n{[0100]}！！
Event_Birthday_03	繼續讓大腦\n變得更加靈活吧！
Event_Birthday_04	今後也請你多多指教喔！
Event_Comp_Outfits_01	喔！終於！\n獲得了最後一套服裝！！
Event_Comp_Outfits_02	{color[ff1010ff]}全部的服裝{color[000000ff]}都收集完成了！\n恭喜你！！！
Event_Comp_Outfits_03	能在靈活腦學校遇到你，\n真是太好了！謝謝你！
Event_Comp_Greets_01	什麼！\n竟然想到最後一個招呼語了！
Event_Comp_Greets_02	{color[ff1010ff]}全部的招呼語{color[000000ff]}都收集完成了！\n恭喜你！！！
Event_Comp_Greets_03	竟然可以想到這個……\n你的大腦太靈活了，真讓人羡慕！
Battle_Giveup_01	幽靈的紀錄\n到此為止！
Battle_Giveup_02	對方的幽靈\n終止了！
Startup_Talk_01_01	嗨！嗨！\n你好啊！
Startup_Talk_01_02	歡迎來到\n靈活腦學校！
Startup_Talk_01_03	我是校長，\n可以叫我{color[ff1010ff]}秤博士{color[000000ff]}。
Startup_Talk_01_04	最近，大腦\n有點僵硬吧？
Startup_Talk_01_05	本校準備了各式各樣\n替僵硬大腦按摩放鬆的考題。
Startup_Talk_01_05_02	來！一起開始伸展大腦吧！
Startup_Talk_01_06	馬上為你辦入學手續，\n請告訴我你的資訊。
Startup_Talk_01_07	首先，\n請告訴我你的{color[ff1010ff]}年齡{color[000000ff]}！
Startup_Talk_09_01	然後，\n請告訴我你的{color[ff1010ff]}造型{color[000000ff]}！
Startup_Talk_09_02	之後也可以更改喔。
Startup_Talk_03_01	那麼，\n請告訴我你的{color[ff1010ff]}職業{color[000000ff]}。
Startup_Talk_03_02	請選擇跟你真正的職業\n最接近的選項喔。
Startup_Talk_02_01	然後！\n請告訴我你的{color[ff1010ff]}介紹詞{color[000000ff]}！
Startup_Talk_02_02	之後也可以更改，\n所以現在任意選也沒關係喔！
Startup_Talk_04_01	最後！\n請換上本校的{color[ff1010ff]}服裝{color[000000ff]}！
Startup_Talk_04_02	服裝之後也可以更改，\n所以任意選就可以了！
Startup_Talk_06_01	我一直在等待像你一樣的學生出現！\n啊，對了……
Startup_Talk_06_02	小孩子的話，\n推薦使用{color[ff1010ff]}簡易輔助{color[000000ff]}！
Startup_Talk_07_01	接下來！\n為你介紹{color[ff1010ff]}線上功能{color[000000ff]}！
Startup_Talk_07_02	在{color[ff1010ff]}幽靈對戰{color[000000ff]}和{color[ff1010ff]}排名\n{color[000000ff]}互相競爭吧！
Startup_Talk_05_01	歡迎你！\n{[0100]}！
Startup_Talk_05_02	入學手續已經辦好了！
Startup_Talk_05_03	那麼！\n靈活腦學校，開學啦！
Startup_Talk_08_01	那麼，\n首先是……
Startup_Talk_08_02	在{color[ff1010ff]}伸展{color[000000ff]}中\n稍微放鬆一下大腦吧！
Startup_Talk_Str_01	鏘鏘！\n這就是本校引以為傲的{color[ff1010ff]}伸展{color[000000ff]}！
Startup_Talk_Str_02	我推薦從{color[ff1010ff]}直覺{color[000000ff]}類別開始！
Startup_Talk_GameSelect_01	要試看看\n{color[ff1010ff]}配圖鼴鼠{color[000000ff]}嗎？
Startup_Talk_Game_01	有{color[ff1010ff]}按鍵{color[000000ff]}和{color[ff1010ff]}觸控\n{color[000000ff]}兩種玩法喔！
Startup_Talk_Finish_01	第一次體驗靈活腦學校，\n感覺如何？
Startup_Talk_Finish_02	你的靈活大腦之路\n才剛開始！
Startup_Talk_Finish_03	請盡情按摩放鬆！\n目標是超級靈活大腦！
Startup_Talk_Gst_01	歡迎來到幽靈對戰！\n{[0100]}！
Startup_Talk_Gst_02	你問我{color[ff1010ff]}幽靈{color[000000ff]}是什麼啊……
Startup_Talk_Gst_03	就是當有人在{color[ff1010ff]}伸展{color[000000ff]}或{color[ff1010ff]}測試{color[000000ff]}中\n解考題的時候……
Startup_Talk_Gst_04	其過程被一五一十地\n{color[ff1010ff]}紀錄{color[000000ff]}下來的東西。
Startup_Talk_Gst_05	竟然！\n幽靈就是紀錄……
Startup_Talk_Gst_06	{color[ff1010ff]}即使不在同一個時間遊玩，{color[000000ff]}\n也能夠互相對戰喔！
Startup_Talk_Gst_07	好的！\n請選擇要對戰的對手吧！
Startup_Talk_Gst_Wld_01	在和世界的幽靈對戰中\n可以看到{color[ff1010ff]}靈活度世界排名{color[000000ff]}！
Startup_Talk_Gst_Wld_02	隨著對戰的次數增加，\n對方的幽靈也會越來越強！
Startup_Talk_Gst_Wld_03	好的！\n請選擇要對戰的幽靈吧！
Startup_Talk_Avt_01	更改服裝和髮型，\n改變一下形象吧！
Startup_Talk_Avt_02	服裝可以在伸展等地方\n累積金幣後獲得！
Startup_Talk_Cfg_01	在這裡可以更改\n自己的造型和個人檔案喔！
Test_Infomation_01	透過5種類別的考題\n測量你的大腦靈活度！
Tips_Start	呵呵！\n告訴你一個靈活冷知識……
Tips_End	以上就是靈活冷知識！
Tips_01_01	收集到{color[ff1010ff]}金秤獎牌{color[000000ff]}的話，\n好像會發生什麼事……
Tips_01_02	雖然路程很辛苦，\n但還是去挑戰看看吧！
Tips_02_01	金和銀獎牌\n各有{color[ff1010ff]}3種種類{color[000000ff]}！
Tips_02_02	就算是顏色一樣的獎牌，\n★越多，就代表越厲害！
Tips_03_01	獲得{color[ff1010ff]}10枚{color[000000ff]}金幣後，\n我就會送你{color[ff1010ff]}服裝{color[000000ff]}！
Tips_03_02	敬請期待會獲得什麼吧！\n也有帽子和飾品喔！
Tips_04_01	{color[ff1010ff]}服裝{color[000000ff]}總共有\n300套！
Tips_04_02	請收集不同的服裝，\n找到自己喜歡的配搭吧♪
Tips_05_01	答對的速度{color[ff1010ff]}越快{color[000000ff]}，\n靈活度會提升越多。
Tips_05_02	總而言之，快速地答對！\n這就是訣竅！
Tips_06_01	答對{color[ff1010ff]}越多{color[000000ff]}困難的考題，\n靈活度會提升越多。
Tips_06_02	考題的難度提升後，\n反而是機會喔！
Tips_07_01	你知道自己記載在\n幽靈對戰選單的{color[ff1010ff]}幽靈ID{color[000000ff]}嗎？
Tips_07_02	你的{color[ff1010ff]}最佳紀錄幽靈\n{color[000000ff]}會被保存在ID裡。
Tips_07_03	把{color[ff1010ff]}幽靈ID{color[000000ff]}告訴其他人看看吧！\n也可以和朋友以外的人對戰喔！
Tips_08_01	在{color[ff1010ff]}派對{color[000000ff]}中可以選擇\n考題的{color[ff1010ff]}難易度{color[000000ff]}！
Tips_08_02	從超級簡單的考題到\n超級困難的考題，共有{color[ff1010ff]}6個階段{color[000000ff]}。
Tips_08_03	配合各自不同的實力，\n可以自由地選擇！
Tips_08_04	只要更改{color[ff1010ff]}難易度{color[000000ff]}，\n無論是小孩子還是大人都可以一起遊玩喔！
Tips_09_01	偶爾停在{color[ff1010ff]}標題畫面{color[000000ff]}看看吧。
Tips_09_02	竟然！你是不是聽得見\n我在喃喃自語啊？
Tips_09_03	雖然不知道這對你\n有沒有幫助……！
Tips_10_01	啊！我去一下廁所！
Tips_10_02	就是啊……當考題做到一半時，\n總有會想要{color[ff1010ff]}暫停{color[000000ff]}的時候吧？
Tips_10_03	這種時候只要按下{color[ff1010ff]}＋鍵{color[000000ff]}或{color[ff1010ff]}－鍵{color[000000ff]}，\n就可以返回選單畫面了。
Tips_10_04	無論做什麼，\n切忌心浮氣躁。
Tips_11_01	在幽靈對戰中，\n打敗強勁的幽靈後……
Tips_11_02	我就會送你獎勵金幣♪\n請務必挑戰看看喔！
Tips_12_01	在{color[ff1010ff]}兩人{color[000000ff]}遊玩派對時，\n選擇「{color[ff1010ff]}用觸控{color[000000ff]}」的話……
Tips_12_02	竟然！可以跟對方\n面對面直接對戰！
Tips_13_01	在幽靈對戰前互相交換的\n{color[ff1010ff]}招呼語{color[000000ff]}……
Tips_13_02	等到對戰獲勝後，\n你應該就會想到新的{color[ff1010ff]}招呼語{color[000000ff]}了！
Tips_13_03	到時候會想到怎樣的{color[ff1010ff]}招呼語{color[000000ff]}呢？\n敬請期待吧！
Tips_14_01	可以在幽靈對戰中使用的\n{color[ff1010ff]}招呼語{color[000000ff]}共有40種以上！
Tips_14_02	隨著不斷按摩放鬆大腦，\n詞彙量也會隨之增加！
Tips_15_01	在幽靈對戰的「{color[ff1010ff]}用幽靈ID搜尋{color[000000ff]}」中，\n輸入{color[ff1010ff]}自己的幽靈ID{color[000000ff]}……
Tips_15_02	竟然！可以跟自己的\n最佳紀錄幽靈對戰！
Tips_16_01	其實透過{color[ff1010ff]}測試{color[000000ff]}就會知道，\n在頭腦段位中存在著一個夢幻的段位……
Tips_16_02	那就是「{color[ff1010ff]}靈活大腦王{color[000000ff]}」！
Tips_16_03	關於這個段位，我有些話想說，\n但還是等下次有機會再說吧……
TitleGreet_01_01	嗯嗯……哈唔……
TitleGreet_01_02	早安。
TitleGreet_02_01	早安！
TitleGreet_03_01	午安！
TitleGreet_04_01	你好！
TitleGreet_05_01	晚安！
TitleGreet_06_01	嗯嗯嗯……唔……
TitleGreet_06_02	晚安。
TitleTimeTalk_00_01	你好，你好，\n你今天心情怎麼樣？
TitleTimeTalk_00_02	我跟平常沒什麼兩樣。
TitleTimeTalk_00_03	好的！\n那就開始吧？
TitleTimeTalk_01_01	新的一天開始了。
TitleTimeTalk_01_02	希望今天對你來說\n會是很棒的一天……
TitleTimeTalk_01_03	好的！\n那就開始吧。
TitleTimeTalk_02_01	你起得真早呢。\n我也是早上精神比較好喔。
TitleTimeTalk_02_02	好的！好的！好的！
TitleTimeTalk_02_03	我的狀態超級好！
TitleTimeTalk_02_04	好的！\n那要開始了嗎？
TitleTimeTalk_03_01	你起得真早呢。\n我也是早上比較有精神喔。
TitleTimeTalk_03_02	好的！好的！好的！
TitleTimeTalk_03_03	啊……！\n我的腰啊！！
TitleTimeTalk_03_04	啊咿！\n那就開始吧……
TitleTimeTalk_04_01	早晨的空氣很清新，\n很好聞呢！
TitleTimeTalk_04_02	簡單來說，好聞的程度\n大概僅次於烤肉的味道。
TitleTimeTalk_04_03	好的！\n那要開始了嗎？
TitleTimeTalk_05_01	好的、好的、好的！\n好的、好的、好的！
TitleTimeTalk_05_02	唔……\n咦，你問我在做什麼？
TitleTimeTalk_05_03	我在做「靈活體操」，\n這是我每天早上必做的事！
TitleTimeTalk_05_04	好的！\n那就開始吧？
TitleTimeTalk_06_01	啦啦啦～♪\n唔呼呼～♪
TitleTimeTalk_06_02	嗯……本校有很多這種\n會不知不覺就哼出來的旋律！
TitleTimeTalk_06_03	偶爾讓大腦休息一下，\n聆聽這些旋律看看吧！
TitleTimeTalk_06_04	好的！\n那要開始了嗎？
TitleTimeTalk_07_01	其實我對服裝儀容\n很有要求的……
TitleTimeTalk_07_02	我最自豪的是這鬍鬚♪\n要花我一個小時來打理呢！
TitleTimeTalk_07_03	好的！\n那要開始了嗎？
TitleTimeTalk_08_01	聽說在地球剛誕生的時期……
TitleTimeTalk_08_02	曾經一連好幾年\n都一直下著雨呢。
TitleTimeTalk_08_03	很不可思議吧？
TitleTimeTalk_08_04	我們覺得是理所當然的事物……
TitleTimeTalk_08_05	其實只是偶然的產物呢。
TitleTimeTalk_08_06	一連好幾年\n都一直下著雨的話……
TitleTimeTalk_08_07	到底要何時才能\n曬衣服呢……
TitleTimeTalk_08_08	好的！\n那就開始吧。
TitleTimeTalk_09_01	你有跟其他人較量過\n大腦的靈活度嗎？
TitleTimeTalk_09_02	話說很久以前，我的靈活大腦\n可是所向披靡，無人能敵呢……
TitleTimeTalk_09_03	不過，有一位傳說中的強者\n把我打得落花流水。
TitleTimeTalk_09_04	他的大腦靈活度，\n簡直可以用「王」來稱呼……！
TitleTimeTalk_09_05	因為那個人的關係，\n我才準備了「頭腦段位」。
TitleTimeTalk_09_06	靈活大腦王！
TitleTimeTalk_09_07	傳說中的頭腦段位「靈活大腦王」\n就是因此而生的。
TitleTimeTalk_09_08	那麼，要開始了嗎？
TitleTimeTalk_10_01	吃過午餐了嗎？\n我現在才準備要去呢。
TitleTimeTalk_10_02	啦～啦啦～啦啦啦～\n今天要吃什麼好呢～？
TitleTimeTalk_10_03	呵呵呵，\n光用想的就覺得開心！
TitleTimeTalk_10_04	好的！\n那要開始了嗎？
TitleTimeTalk_11_01	吃過午餐了嗎？\n我已經吃飽了喔。
TitleTimeTalk_11_02	也就是說！我現在的大腦裡，\n滿滿的都是「點心」！
TitleTimeTalk_11_03	好的！\n那要開始了嗎？
TitleTimeTalk_12_01	其實我很怕熱。
TitleTimeTalk_12_02	所以大部分的時間\n我都躲在學校裡。
TitleTimeTalk_12_03	穿上這身套裝後，\n整身都是熱氣……
TitleTimeTalk_12_04	噢……\n這種事不能講出來。
TitleTimeTalk_12_05	好的！\n那要開始了嗎？
TitleTimeTalk_13_01	今天也要……\n好好地……
TitleTimeTalk_13_02	讓大腦……
TitleTimeTalk_13_03	………………\n………………
TitleTimeTalk_13_04	……啊！
TitleTimeTalk_13_05	不、不好意思！\n我不小心睡著了。
TitleTimeTalk_13_06	好的！\n那就開始吧？
TitleTimeTalk_14_01	午餐吃得太飽\n就會昏昏欲睡呢。
TitleTimeTalk_14_02	這種時候！
TitleTimeTalk_14_03	就要無視旁人的眼光，\n翩翩地跳起舞來！
TitleTimeTalk_14_04	但這樣做……\n也不太可行……
TitleTimeTalk_14_05	所以還是要\n好好睡覺啦！
TitleTimeTalk_14_06	這就是靈活腦學校的\n基本方針！
TitleTimeTalk_14_07	好的！\n那要開始了嗎？
TitleTimeTalk_15_01	其實呢，你別看我這樣，\n我是很容易感到沮喪的……
TitleTimeTalk_15_02	但只要一被誇獎，\n又會立刻得意起來……
TitleTimeTalk_15_03	最後還是會\n覺得沮喪。
TitleTimeTalk_15_03_02	我就是這麼靈活多變……
TitleTimeTalk_15_04	……好的！\n那要開始了嗎？
TitleTimeTalk_16_01	人家說勇氣有兩種。
TitleTimeTalk_16_02	一種是做的勇氣，另一種是不做的勇氣。
TitleTimeTalk_16_03	人們常常為了該選擇哪一種而猶豫不決。
TitleTimeTalk_16_04	其實我現在\n正在減肥……
TitleTimeTalk_16_05	但今天的點心是靈活大腦布丁，\n到底該不該吃呢？還是不要吃好了？
TitleTimeTalk_16_06	好煩惱、好煩惱喔……\n還是決定吃吧！
TitleTimeTalk_16_07	雖然做這個決定需要鼓起很大的勇氣，\n不過我是不會後悔的！
TitleTimeTalk_16_08	好的！\n那要開始了嗎？
TitleTimeTalk_17_01	黃昏時飄來陣陣的\n咖哩香……
TitleTimeTalk_17_02	讓我想念起\n家鄉的母親。
TitleTimeTalk_17_03	……\n好懷念啊……
TitleTimeTalk_17_04	……\n媽，你過得好嗎……
TitleTimeTalk_17_05	噢……不好意思！\n那要開始了嗎？
TitleTimeTalk_19_01	不知道為什麼，\n黃昏總是特別感傷……
TitleTimeTalk_19_02	想著想著……\n肚子就餓了起來。
TitleTimeTalk_19_03	好的！\n那要開始了嗎？
TitleTimeTalk_20_01	總覺得好像\n以前也經歷過同樣的事……
TitleTimeTalk_20_02	是不是曾經有過這種\n好像突然想起些什麼的時刻呢？
TitleTimeTalk_20_03	這種感覺就叫做\n「既視感」。
TitleTimeTalk_20_04	啊！我以前好像\n也說過同樣的話呢……
TitleTimeTalk_20_05	好的！\n那要開始了嗎？
TitleTimeTalk_21_01	今天快要結束了呢。
TitleTimeTalk_21_02	對你來說，\n這是怎樣的一天呢？
TitleTimeTalk_21_03	靈活的大腦，\n有派上用場嗎？
TitleTimeTalk_21_04	…………
TitleTimeTalk_21_04_02	有、有派上用場吧？
TitleTimeTalk_21_05	好的！\n那要開始了嗎？
TitleTimeTalk_22_01	吃過晚餐了嗎？\n我現在才準備要去呢。
TitleTimeTalk_22_02	呵呵呵，今晚的菜單是……\n滑嫩可口的歐姆蛋！
TitleTimeTalk_22_03	身為靈活腦學校的校長，\n對煎蛋的靈活度可是相當講究的！
TitleTimeTalk_22_04	好的！\n那要開始了嗎？
TitleTimeTalk_23_01	已經吃過晚餐了嗎？
TitleTimeTalk_23_02	我吃得太飽了……
TitleTimeTalk_23_03	身體好像變得重重的……
TitleTimeTalk_23_04	喂！不要盯著我腳下的磅秤看啦！
TitleTimeTalk_23_05	好的！\n那要開始了嗎？
TitleTimeTalk_24_01	………………
TitleTimeTalk_24_02	……怎麼樣？\n有注意到我哪裡不一樣嗎？
TitleTimeTalk_24_03	………………
TitleTimeTalk_24_04	我換眼鏡了，\n可是好像不換比較好……
TitleTimeTalk_24_05	好的！\n那要開始了嗎？
TitleTimeTalk_26_01	……在這寧靜的夜晚，\n是不是很想要說點鬼故事呢？
TitleTimeTalk_26_02	………………\n………………
TitleTimeTalk_26_03	呀！不要這樣！\n我超怕聽那種故事的！
TitleTimeTalk_26_04	好的！\n那就直接開始，開始吧！
TitleTimeTalk_27_01	洗澡最能夠消除\n一整天的疲勞呢。
TitleTimeTalk_27_02	我在洗澡的時候\n也會把這身套裝給脫了……
TitleTimeTalk_27_03	噢……\n這種事不能講出來。
TitleTimeTalk_27_04	好的！\n那要開始了嗎？
TitleTimeTalk_28_01	雖然任何事都要\n講求平衡……
TitleTimeTalk_28_02	但本校對於大腦\n只講求「靈活度」……
TitleTimeTalk_28_03	大腦越靈活，\n就代表你越厲害！！
TitleTimeTalk_28_04	……就是這樣。
TitleTimeTalk_28_04_02	請盡全力\n按摩放鬆大腦吧！
TitleTimeTalk_28_05	好的！\n那要開始了嗎？
TitleTimeTalk_29_01	睡眠不足的話，\n大腦就會常常放空……
TitleTimeTalk_29_02	所以還是盡量不要太晚睡吧……
TitleTimeTalk_29_03	好的！\n那要開始了嗎？
TitleTimeTalk_30_01	你應該知道地球是圓的吧？\n不過……
TitleTimeTalk_30_02	要是地球是其他形狀的話，\n這世界會變成怎樣呢？
TitleTimeTalk_30_03	我只要一開始思考這件事，\n就會睡不著了！
TitleTimeTalk_30_04	噢……\n那要開始了嗎？
TitleTimeTalk_31_01	世界上應該有很多\n無法解釋的現象吧？
TitleTimeTalk_31_02	以前的人會把這些現象\n稱之為「魔法」或「奇蹟」。
TitleTimeTalk_31_03	像我這樣的生物\n應該也會……
TitleTimeTalk_31_04	被以前的人稱之為\n「魔法」或「奇蹟」吧？
TitleTimeTalk_31_05	好的！\n那要開始了嗎？
TitleTimeTalk_32_01	所謂的「靈活」\n是什麼呢……
TitleTimeTalk_32_02	對我來說，\n這可是永遠的課題呢。
TitleTimeTalk_32_03	這個「地球」，\n其實也滿靈活的。
TitleTimeTalk_32_04	不過，地球的靈活度……\n究竟是多少呢？
TitleTimeTalk_32_07	「靈活度」這個課題\n是無法測量的！
TitleTimeTalk_32_08	好的！\n那要開始了嗎？
TitleTalk_01	100年後的未來\n會是什麼樣子呢？
TitleTalk_02	嗯唔……\n人類將何去何從呢？
TitleTalk_03	宇宙的盡頭\n會是什麼樣子呢？
TitleTalk_04	……最近這身套裝\n變得越來越緊了啊。
TitleTalk_05	……明天會是晴天嗎？
TitleTalk_06	……肚子好餓啊。
TitleTalk_07	……好想漂浮在\n無人島的海上啊。
TitleTalk_08	……要是我身體的結實度\n能跟上大腦的靈活度就好了啊。
Error_NoGhost_01	找不到幽靈……
Error_NoPlayLog_01	找不到幽靈……
Error_NoConnection_01	無法搜尋幽靈……
Battle_Announce	{color[ff1010ff]}{[0100]}\n{color[000000ff]}和你的幽靈對戰了！
Battle_Announce_V	你的幽靈\n打敗{color[ff1010ff]}{[0100]}{color[000000ff]}了！
Battle_SeasonReset_01	開始新的賽季了！
Battle_SeasonReset_02	最後對戰時的排名，\n在這裡！
Battle_SeasonReset_03	排名已經重新整理了！\n一鼓作氣地向前邁進吧！
Party_Result_01	這次的派對結果是……
Battle_CatchUpChance_01	{color[ff1010ff]}{[0100]}{color[000000ff]}\n得到獎勵機會！
Battle_CatchUpChance_02	下一題最快答對的話，\n{color[ff1010ff]}＋40分{color[000000ff]}！
Battle_CatchUpChance_03	大腦準備好之後，\n就開始吧！
Party_CatchUpChance_C01	低於{color[ff1010ff]}50分{color[000000ff]}的人\n得到獎勵機會！
Party_CatchUpChance_D02	下一題答對的話，\n{color[ff1010ff]}＋50分{color[000000ff]}！
BattleMenu_Continue3_01	還要繼續嗎！？\n今天已經是{color[ff1010ff]}第三次{color[000000ff]}了！
BattleMenu_Continue3_02	那麼……\n我去把{color[ff1010ff]}強勁的幽靈{color[000000ff]}叫過來！
common_MenuTerm.msbt
Back	 返回
Back_T	返回
Stop	 退出
Support	簡易輔助
Stretch	伸展
SpStretch	超級伸展
Test	測試
Battle	幽靈對戰
Party	派對
Costume	服裝
Ranking	排名
Config	設定
Single	主要
StaffCredit	工作人員
Yawarakado	靈活度
Yawarakado2	靈活度
Yawarakado_Value	{size[3200]}靈活度　{size[6400]}{[0101]}
AtamaClass	頭腦段位
Best	最佳
Recommend	推薦！
Point	分
Win_00	勝
Win_sg	勝
Win_pl	勝
Party_Touch_Control	請點觸畫面。
Date	{[010c]}/{[010d]}/{[010e]}
ATAMACLASS0000000	8級
ATAMACLASS0000001	7級
ATAMACLASS0000002	6級
ATAMACLASS0000003	5級
ATAMACLASS0000004	4級
ATAMACLASS0000005	3級
ATAMACLASS0000006	2級
ATAMACLASS0000007	1級
ATAMACLASS0000008	初段
ATAMACLASS0000009	2段
ATAMACLASS0000010	3段
ATAMACLASS0000011	4段
ATAMACLASS0000012	5段
ATAMACLASS0000013	6段
ATAMACLASS0000014	7段
ATAMACLASS0000015	8段
ATAMACLASS0000016	靈活大腦王
CHARTTYPE0000000	直覺型
CHARTTYPE0000001	記憶型
CHARTTYPE0000002	分析型
